name,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
Achillée Crémant Soléra AOC Crémant d'Alsace NV,359.0,France,Alsace,Cremant d'Alsace AOC,Achillée,,0.75,13.5,9,,sparkling,dry,average,,False,True,,"Pinot Gris, Sylvaner"
Achillée Pépin Orange,145.0,France,Alsace,Vin de France,,,0.75,13.0,12,white,,dry,average,,False,True,,"Sylvaner, Riesling, Pinot Gris, Pinot Blanc, Muscat"
Achillée Pépin White,119.0,France,Alsace,Vin de France,Achillée,,0.75,13.0,12,white,,dry,average,,False,True,,"Pinot Gris, Chardonnay"
Achillée Pétillant Naturel AOC Alsace,129.0,France,Alsace,Alsace AOC,Achillée,2019.0,0.75,13.5,9,,sparkling,dry,average,,False,True,,"Pinot Gris, Sylvaner"
Achillée Pinot Noir Libre AOC Alsace,199.0,France,Alsace,Alsace AOC,,2020.0,0.75,13.5,14,red,,dry,average,,False,True,,Pinot Noir
Achillée Riesling Grand Cru Frankstein AOP Alsace Grand Cru,285.0,France,Alsace,Alsace Grand Cru AOP,Achillée,2021.0,0.75,13.5,10,white,,dry,full,,False,True,,Riesling
Achillée Scherwiller Riesling AOC Alsace,209.0,France,Alsace,Alsace AOC,Achillée,2021.0,0.75,13.5,10-12,white,,dry,full,,False,True,,Riesling
Acordeon Torrontes,59.0,Argentina,Cafayate,,Finca N,2017.0,0.75,14.0,10,white,,dry,average,,False,False,,Torrontes
Acústic Auditori Montsant DO,345.0,Spain,Catalonia,Montsant DO,,2017.0,0.75,15.0,15,red,,dry,full,,True,True,91.0,Garnacha
Acústic Blanc Montsant DO,116.0,Spain,Catalonia,Montsant DO,,2021.0,0.75,13.5,10-12,white,,dry,average,,True,True,,"Macabeo, Garnacha Blanca"
Acústic Blanc Montsant DO magnum,219.0,Spain,Catalonia,Montsant DO,,2021.0,1.5,13.5,10-12,white,,dry,average,,True,True,,"Macabeo, Garnacha Blanca"
Acústic Negre Montsant DO,116.0,Spain,Catalonia,Montsant DO,,2019.0,0.75,15.0,15,red,,dry,full,,True,True,91.0,"Garnacha, Carignan"
Acústic Negre Montsant DO magnum,234.0,Spain,Catalonia,Montsant DO,,2019.0,1.5,15.0,16-18,red,,dry,full,,True,True,91.0,"Garnacha, Carignan"
Adami Bosco Di Gica Brut Valdobbiadene Prosecco Superiore DOCG,118.0,Italy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,2018.0,0.75,,8,white,,,,,False,False,91.0,Prosecco
Adami Col Credas Extra Brut Valdobbiadene Prosecco Superiore DOCG,148.0,Italy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,,0.75,,8,white,,,,Tre Bicchieri Gambero Rosso,False,False,90.0,Prosecco
Adami Col Fondo / Sui Lieviti Brut Valdobbiadene Prosecco Superiore DOCG,114.0,Italy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,,0.75,,8,white,sparkling,dry,,,False,False,,Prosecco
Adami Garbel Brut Prosecco Treviso DOC,105.0,Italy,Veneto,Prosecco Treviso DOC,Adami,,0.75,,8,white,,,light,,False,False,,Prosecco
Aia Vecchia Lagone Toscana IGT,104.0,Italy,Tuscany,Toscana IGT,,2020.0,0.75,13.5,14,red,,dry,average,,False,False,,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Aia Vecchia Lagone Toscana IGT magnum,232.0,Italy,Tuscany,Toscana IGT,,2018.0,1.5,13.5,15,red,,dry,average,,False,False,,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Aia Vecchia Sor Ugo Bolgheri DOC,240.0,Italy,Tuscany,Bolgheri DOC,,2019.0,0.75,15.0,16-18,red,,dry,full,,False,False,,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc"
Aia Vecchia Vermentino Toscana IGT,80.0,Italy,Tuscany,Toscana IGT,,2021.0,0.75,12.5,10,white,,dry,light,,False,False,,"Vermentino, Viognier"
Alamos Cabernet Sauvignon Uco Valley,71.0,Argentina,,,Bodegas Catena Zapata,2019.0,0.75,,,red,,dry,,,False,False,,Cabernet Sauvignon
Alamos Chardonnay Uco Valley,71.0,Argentina,Uco Valley,,Bodegas Catena Zapata,2020.0,0.75,,,white,,dry,,,False,False,,Chardonnay
Alamos Malbec Uco Valley,71.0,Argentina,,,Bodegas Catena Zapata,2021.0,0.75,,16-18,red,,dry,average,,False,False,90.0,Malbec
Alamos Torrontes Cafayate,71.0,Argentina,Cafayate,,Bodegas Catena Zapata,2020.0,0.75,13.0,10-12,white,,dry,,,False,False,,Torrontes
Alargo Assyrtiko Crete PGI,114.0,Greece,Crete,Crete PGI,Douloufakis,2020.0,0.75,14.4,10,white,,dry,average,,False,False,,Assyrtiko
Alazani Valley Kakhuri Red,39.0,Georgia,Kakheti,,Kakhuri,,0.75,11.0,16,red,,semi-sweet,average,,False,False,,Saperavi
Alazani Valley Kakhuri White,35.0,Georgia,Kakheti,,Kakhuri,,0.75,11.0,10-12,white,,semi-sweet,average,,False,False,,"Mtswane, Rkatsiteli"
Albarino Vionta,65.0,Spain,Galicia,Rias Baixas DO,,2020.0,0.75,13.0,10,white,,dry,average,,False,False,,Albarino
Albert Bichot Chablis blanc,209.0,France,Burgundy,Chablis AOC,,2021.0,0.75,12.5,8-10,white,,dry,,,False,False,,Chardonnay
Albert Bichot Chardonnay Horizon de Bichot VdF Limoux,89.0,France,Languedoc (Languedoc),,,2021.0,0.75,13.0,10,white,,dry,average,,False,False,,Chardonnay
Albert Bichot Chardonnay Secret de Famille Bourgogne AOC,179.0,France,Burgundy,Bourgogne AOC,,2020.0,0.75,12.5,10,white,,dry,average,,False,False,,Chardonnay
Albert Bichot Chassagne-Montrachet Rouge AOC,299.0,France,Burgundy,Chassagne-Montrachet AOC,,2020.0,0.75,13.5,16-18,red,,dry,average,,False,False,,Pinot Noir
Albert Bichot Petit Chablis AOC,189.0,France,Burgundy,Petit Chablis AOC,,2021.0,0.75,12.5,10,white,,dry,average,,False,False,,Chardonnay
Albert Bichot Vieilles Vignes de Chardonnay Bourgogne AOC,159.0,France,Burgundy,Bourgogne AOC,,2020.0,0.75,12.5,10,white,,dry,average,,False,False,,Chardonnay
Albert Bichot Vieilles Vignes de Pinot Noir Bourgogne AOC,165.0,France,Burgundy,Bourgogne AOC,,2020.0,0.75,12.5,16-18,red,,dry,average,,False,False,,Pinot Noir
Alberto Anguissola Casè Pinot Nero Emilia IGT,139.0,Italy,Emilia Romana,Emilia IGT,,2018.0,,12.5,,red,,dry,light,,True,True,,Pinot Nero
Alberto Anguissola Casèbianco Emilia IGT,144.0,Italy,Emilia Romana,Emilia IGT,,2021.0,,11.5,,orange,,dry,light,,True,True,,"Malvasia di Candia Aromatica, Ortugo, Sauvignon Blanc, Marsanne"
Alberto Anguissola Riva del Ciliegio Emilia IGT,155.0,Italy,Emilia Romana,Emilia IGT,,2016.0,,12.5,,red,,dry,average,,True,True,,Pinot Nero
Aldo Viola Biancoviola Bianco IGP Terre Siciliane,155.0,Italy,Sicily,Terre Siciliane IGT,,2021.0,0.75,13.0,10-12,white,,dry,average,,False,True,,"Grecanico, Catarratto, Grillo"
Aldo Viola Brutto IGP Terre Siciliane,154.0,Italy,Sicily,Terre Siciliane IGT,,2021.0,0.75,12.0,8,,sparkling,dry,light,,False,True,,Catarratto
Aldo Viola Coccinella Syrah IGP Terre Siciliane,149.0,Italy,Sicily,Terre Siciliane IGT,,2021.0,0.75,13.0,16,red,,dry,average,,False,True,,Shiraz / Syrah
Aldo Viola Egesta IGP Terre Siciliane,199.0,Italy,Sicily,Terre Siciliane IGT,,2019.0,0.75,13.5,12,orange,,dry,average,,False,True,,Grillo
Aldo Viola Krimiso IGP Terre Siciliane,195.0,Italy,Sicily,Terre Siciliane IGT,,2019.0,0.75,12.5,12,orange,,dry,average,,False,True,,Catarratto
Alessandra Divella Blanc De Blancs Zero NV NV,249.0,Italy,Lombardy,,,,0.75,12.0,9,,sparkling,dry,average,,False,True,,Chardonnay
Alessandra Divella Clo Clo Rosé Zero NV NV,359.0,Italy,Lombardy,,,,0.75,12.0,9,rose,sparkling,dry,average,,False,True,,Pinot Noir
Alheit Cartology Bio,211.0,South Africa,Western Cape,,Alheit Vineyards,2019.0,0.75,13.36,12,white,,dry,average,,True,True,,"Chenin Blanc, Semillon"
Alheit Magnetic North Bio,389.0,South Africa,Western Cape,,Alheit Vineyards,2020.0,0.75,13.36,12,white,,dry,average,,True,True,,Chenin Blanc
Alheit Nautical Dawn Bio,227.0,South Africa,Stellenbosch,,Alheit Vineyards,2020.0,0.75,13.0,12,white,,dry,light,,True,True,,Chenin Blanc
Allegrini Amarone Valpolicella Classico DOCG box,468.0,Italy,Veneto,Amarone della Valpolicella Classico DOCG,Allegrini,2017.0,0.75,,18,red,,dry,full,Tre Bicchieri Gambero Rosso,False,False,,"Corvina/Corvinone, Rondinella, Oseleta"
Allegrini Belpasso VDT,65.0,Italy,Veneto,,Allegrini,2019.0,0.75,,16,red,,dry,average,,False,False,,"Corvina Veronese, Rondinella"
Allegrini La Grola Veronese IGT,181.0,Italy,Veneto,Veneto IGT,Allegrini,2017.0,0.75,,17,red,,dry,,,False,False,,"Corvina Veronese, Syrah , Oseleta"
Allegrini La Poja Corvina Veronese IGT,499.0,Italy,Veneto,,Allegrini,2011.0,0.75,,18,red,,dry,full,,False,False,,Corvina Veronese
Allegrini Palazzo della Torre Veronese IGT,154.0,Italy,Veneto,Veneto IGT,Allegrini,2019.0,0.75,,16-18,red,,dry,,,False,False,90.0,"Corvina Veronese, Rondinella, Molinara"
Allegrini Valpolicella Classico DOC,95.0,Italy,,Valpolicella Classico DOC,Allegrini,2020.0,0.75,13.0,16-18,red,,dry,average,,False,False,,"Corvina Veronese, Rondinella, Molinara"
Altura Vigneto Ansonaco IGP Toscana,295.0,Italy,Tuscany,Toscana IGT,,2021.0,0.75,13.0,12,white,,dry,full,,False,True,,Ansonica
Altura Vigneto Rossetto IGP Toscana,229.0,Italy,Tuscany,Toscana IGT,,2021.0,0.75,13.0,12,rose,,dry,average,,False,True,,Sangiovese
Altura Vigneto Rosso Severio IGP Toscana,359.0,Italy,Tuscany,Toscana IGT,,2021.0,0.75,14.0,16-18,red,,dry,full,,False,True,,"Sangiovese, Trebbiano, Malvasia Nera, Grenache"
Alvear Moscatel Montilla-Moriles DO NV,68.0,Spain,Andalusia,Montilla Moriles DO,,,0.75,15.0,12-14,white,,sweet,light,,False,False,,Moscatel
Alvear Pedro Ximénez Montilla-Moriles DO,150.0,Spain,Andalusia,Montilla Moriles DO,,,0.75,16.0,12-14,white,,sweet,full,,False,False,97.0,Pedro Ximenes
Amirault Les Quarterons Brut Crémant de Loire AOC NV,89.1,France,Loire Valley,Crémant de Loire AOC,,,0.75,12.0,8-10,,sparkling,dry,average,,False,True,,"Chardonnay, Chenin Blanc, Cabernet Franc"
Amirault Les Quarterons Le Vau Renou Saint-Nicolas-de-Bourgueil AOC,170.1,France,Loire Valley,Saint-Nicolas-de-Bourgueil AOC,,2018.0,0.75,13.5,16-18,red,,dry,full,,False,True,,Cabernet Franc
Amirault Les Quarterons Les Gravilices Saint-Nicolas-de-Bourgueil AOC,110.7,France,Loire Valley,Saint-Nicolas-de-Bourgueil AOC,,2018.0,0.75,12.5,16-18,red,,dry,average,,False,True,,Cabernet Franc
Amirault Les Quarterons Saint-Nicolas-de-Bourgueil AOC,98.1,France,Loire Valley,Saint-Nicolas-de-Bourgueil AOC,,2020.0,0.75,12.5,15,red,,dry,average,,False,True,,Cabernet Franc
Amos Baneres Hey,108.0,Spain,Catalonia,Penedes DO,Amos Baneres,2021.0,0.75,11.0,,white,,dry,average,,True,True,,"Macabeo, Xarel.lo"
Amos Baneres Missatge En Una Ampolla,155.0,Spain,Catalonia,Penedes DO,Amos Baneres,2018.0,0.75,12.0,,white,,dry,average,,True,True,,Xarel.lo
Amos Bańeres Vinya Oculta,175.0,Spain,Catalonia,Penedes DO,Amos Baneres,2020.0,0.75,12.0,,white,,dry,average,,True,True,,Xarel.lo
Andert Blauer Zweigelt Neusiedlersee,118.0,Austria,Burgenland,,,2018.0,0.75,10.5,10-12,red,,,light,,True,True,,Zweigelt
Andert Pamhogna Weiss Neusiedlersee,151.0,Austria,Burgenland,,,2021.0,0.75,12.0,10-12,orange,,,average,,True,True,,"Pinot Blanc, Neuburger, Pinot Gris"
Andert Personalgetränk Neusiedlersee,151.0,Austria,Burgenland,,,2018.0,0.75,10.5,14,red,,,light,,True,True,,"Pinot Blanc, Pinot Gris, Zweigelt, Neuburger"
Andert Rosé Neusiedlersee,118.0,Austria,Burgenland,,,2021.0,0.75,11.5,14,rose,,,average,,True,True,,"Cabernet Sauvignon, St. Laurent, Zweigelt"
Andert Ruländer Neusiedlersee,187.0,Austria,Burgenland,,,2021.0,0.75,10.5,10-12,orange,,,average,,True,True,,Pinot Gris
Andert Tausend Neusiedlersee,119.0,Austria,Burgenland,,,2021.0,1.0,10.5,10-12,red,,,light,,True,True,,Zweigelt
Andi Weigand PET-NAT Frankonia,149.0,Germany,Franconia,,,2021.0,0.75,11.5,10-12,,sparkling,dry,light,,True,True,,"Silvaner, Müller Thurgau, Riesling, Scheurebe"
Andi Weigand SILVANER Frankonia,139.0,Germany,Franconia,,,2021.0,0.75,11.5,10-12,white,,dry,average,,True,True,,Silvaner
Andi Weigand WHITE Frankonia,119.0,Germany,Franconia,,,2021.0,0.75,11.5,10-12,white,,dry,light,,True,True,,"Silvaner, Bacchus, Müller Thurgau, Scheurebe"
Andrea Pilar Bocca Dei Fossi IGP Umbria,96.0,Italy,Umbria,Umbria IGT,,2021.0,0.75,13.0,12,rose,,dry,average,,False,True,,Montepulciano
Andrea Pilar Calaverna IGP Umbria,96.0,Italy,Umbria,Umbria IGT,,2021.0,0.75,13.0,10,white,,dry,average,,False,True,,Grechetto
Andrea Pilar Malvasia Nera IGP Umbria,96.0,Italy,Umbria,Umbria IGT,,2020.0,0.75,13.0,16,red,,dry,average,,False,True,,Montepulciano
Andrea Pilar Musugazzo Frizzante IGP Umbria,89.0,Italy,Umbria,Umbria IGT,,2021.0,0.75,12.0,8,white,sparkling,dry,light,,False,True,,Sangiovese
Andrea Pilar Syrah IGP Umbria,96.0,Italy,Umbria,Umbria IGT,,2019.0,0.75,13.0,16,red,,dry,full,,False,True,,Syrah
Angol D`Amig Franco IGP Lambrusco dell'Emilia,197.0,Italy,Emilia Romana,Lambrusco dell'Emilia IGP,,2021.0,0.75,11.0,8,red,sparkling,dry,average,,True,True,,Lambrusco Grasparossa
Angol D`Amig Pulonia IGP Emilia,119.0,Italy,Emilia Romana,Emilia IGT,,2021.0,0.75,10.5,8,,sparkling,dry,average,,True,True,,"Pignoletto, Trebbiano Modenese"
Angol D`Amig Qui e Ora IGP Trebbiano Dell'Emilia,149.0,Italy,Emilia Romana,Emilia IGT,,2021.0,0.75,11.0,8,,sparkling,dry,average,,True,True,,"Trebbiano Modenese, Trebbiano di Spagna"
Angol D`Amig Spoma? IGP Lambrusco dell'Emilia,119.0,Italy,Emilia Romana,Emilia IGT,,2021.0,0.75,10.5,8,rose,sparkling,dry,average,,True,True,,Lambrusco di Sorbara
Antiche Contrade Negroamaro Salento IGP,59.0,Italy,Puglia,Salento IGT,,2020.0,0.75,13.0,15,red,,dry,average,,False,False,,Negroamaro
Antiche Contrade Primitivo di Manduria DOP,84.0,Italy,Puglia,Primitivo di Manduria DOP,,2020.0,0.75,14.5,15,red,,dry,full,,False,False,,Primitivo
Antiche Contrade Primitivo Salento IGP,62.0,Italy,Puglia,Salento IGT,,2021.0,0.75,13.5,15,red,,dry,average,,False,False,,Primitivo
Aragonesas Azzulo Campo de Borja DO NV,39.0,Spain,Aragon,Campo de Borja DO,,,0.75,11.0,10-12,white,,semi-sweet,light,,False,False,,"Viura, Chardonnay"
Aragonesas Coto De Hayas Crianza Campo de Borja DO,47.0,Spain,Aragon,Campo de Borja DO,,2019.0,0.75,13.5,16,red,,dry,average,,False,False,,"Garnacha, Tempranillo"
Aragonesas Coto De Hayas Roble Campo de Borja DO,43.0,Spain,Aragon,Campo de Borja DO,,2021.0,0.75,13.5,16,red,,dry,average,,False,False,,"Cabernet Sauvignon, Tempranillo"
Aragonesas Don Ramón Campo de Borja DO,37.0,Spain,Aragon,Campo de Borja DO,,2020.0,0.75,13.5,16,red,,dry,average,,False,False,,"Garnacha, Tempranillo"
Aragonesas Rozzulo Campo de Borja DO NV,39.0,Spain,Aragon,Campo de Borja DO,,,0.75,11.5,10-12,rose,,semi-sweet,light,,False,False,,"Garnacha, Merlot"
Araldica Moscato d'Asti,71.0,Italy,Piedmont,Moscato d Asti DOCG,Araldica,2022.0,0.75,5.0,10,,sparkling,semi-sweet,light,,False,False,,Muscat
Aresti Assemblage Family Collection,175.0,Chile,Curico Valley,,Aresti Chile Wines Limitada,2015.0,,14.0,16-18,red,,dry,,,False,False,,"Shiraz / Syrah, Petit Verdot, Cabernet Sauvignon"
Aresti Cabernet Sauvignon Estate Selection,39.0,Chile,Curico Valley,,Aresti Chile Wines Limitada,2020.0,0.75,12.5,,red,,dry,average,,False,False,,Cabernet Sauvignon
Aresti Cabernet Sauvignon Reserva,57.0,Chile,Colchagua Valley,,Aresti Chile Wines Limitada,2018.0,0.75,13.0,,red,,dry,average,,False,False,,Cabernet Sauvignon
Aresti Carmenere Estate Selection,39.0,Chile,Curico Valley,,Aresti Chile Wines Limitada,2021.0,0.75,12.5,,red,,dry,average,,False,False,,Carmenere
Aresti Carmenere Reserva,57.0,Chile,Rapel Valley,,Aresti Chile Wines Limitada,2020.0,0.75,13.0,,red,,dry,average,,False,False,,Carmenere
Aresti Chardonnay Estate Selection,39.0,Chile,Curico Valley,,Aresti Chile Wines Limitada,2022.0,0.75,12.5,,white,,dry,average,,False,False,,Chardonnay
Aresti Chardonnay Reserva,57.0,Chile,Casablanca Valley,,Aresti Chile Wines Limitada,2021.0,0.75,13.0,,white,,dry,average,,False,False,,Chardonnay
Aresti Gewurztraminer Estate Selection,39.0,Chile,Curico Valley,,Aresti Chile Wines Limitada,2022.0,0.75,12.5,,white,,dry,average,,False,False,,Gewürztraminer
Aresti Merlot Estate Selection,39.0,Chile,Curico Valley,,Aresti Chile Wines Limitada,2021.0,0.75,12.5,,red,,dry,average,,False,False,,Merlot
Aresti Sauvignon Blanc Estate Selection,39.0,Chile,Curico Valley,,Aresti Chile Wines Limitada,2022.0,0.75,12.5,,white,,dry,average,,False,False,,Sauvignon Blanc
Aresti Trisquel Assemblage Gran Reserva,84.0,Chile,Colchagua Valley,,Aresti Chile Wines Limitada,2019.0,,13.5,16-18,red,,dry,full,,False,False,,"Shiraz / Syrah, Petit Verdot, Cabernet Sauvignon"
Aresti Trisquel Gewurztraminer Gran Reserva,84.0,Chile,Curico Valley,,Aresti Chile Wines Limitada,2021.0,0.75,12.5,,white,,dry,average,,False,False,,Gewürztraminer
Aresti Trisquel Sauvignon Blanc Gran Reserva,84.0,Chile,Leyda Valley,,Aresti Chile Wines Limitada,2021.0,0.75,13.0,,white,,dry,average,,False,False,,Sauvignon Blanc
Aresti Trisquel Syrah Gran Reserva,84.0,Chile,Maipo Valley,,Aresti Chile Wines Limitada,2020.0,0.75,14.5,,red,,dry,average,,False,False,,Syrah
Argiolas Cardanera Carignano del Sulcis DOC,99.0,Italy,Sardinia,,Argiolas,2021.0,0.75,,,red,,dry,,,False,False,,Carignan
Argiolas Costamolino Vermentino di Sardegna DOC,98.0,Italy,Sardinia,Vermentino di Gallura DOCG,Argiolas,2020.0,0.75,,11,white,,dry,,,False,False,,Vermentino
Argiolas Costera Cannonau di Sardegna DOC,106.0,Italy,Sardinia,Cannonau di Sardegna DOC,Argiolas,2020.0,0.75,,,red,,dry,,,False,False,90.0,"Carignano/Carignan, Cannonau"
Argiolas Iselis Bianco Nasco di Cagliari DOC,125.0,Italy,,,Argiolas,2019.0,,,,white,,dry,,IWC Silver,False,False,,Nasco
Argiolas Iselis Rosso Monica di Cagliari Superiore DOC,137.0,Italy,Sardinia,Monica di Cagliari,Argiolas,2018.0,,,,red,,dry,,IWC Silver,False,False,,"Carignano, Bovale Sardo"
Argiolas Meri Vermentino di Sardegna DOC,104.0,Italy,,,Argiolas,2022.0,,,,white,,dry,,,False,False,,Vermentino
Argiolas Senes Cannonau di Sardegna DOC Riserva,169.0,Italy,Sardinia,Cannonau di Sardegna DOC,Argiolas,2019.0,,,,red,,dry,full,,False,False,,Cannonau
Argiolas S`Elegas Nuragus di Cagliari DOC,84.0,Italy,,,Argiolas,2020.0,,,,white,,dry,,,False,False,90.0,Nuragus
Argiolas Turriga Isola dei Nuraghi Rosso IGT,589.0,Italy,Sardinia,Sardegna IGT,Argiolas,2019.0,0.75,,18,red,,dry,,Tre Bicchieri Gambero Rosso,False,False,,Cannonau
Armand de Brignac Brut Gold Champagne AOC NV,1999.0,France,Champagne,Champagne AOC,,,0.75,12.5,8,,champagne,dry,average,,False,False,93.0,"Chardonnay, Pinot Noir, Pinot Meunier"
Armand de Brignac Brut Gold Champagne AOC + Gift Box NV,2099.0,France,Champagne,Champagne AOC,,,0.75,12.5,8,,champagne,dry,average,,False,False,93.0,"Chardonnay, Pinot Noir, Pinot Meunier"
Armand de Brignac Rosé Champagne AOC NV,2999.0,France,Champagne,Champagne AOC,,,0.75,12.5,8,rose,champagne,dry,average,,False,False,93.0,"Chardonnay, Pinot Noir, Pinot Meunier"
Arnaud de Villeneuve N°153 Blanc Côtes du Roussillon AOP,53.0,France,Roussillon,Cotes du Roussillon AOC,,2019.0,0.75,13.0,10-12,white,,dry,average,,False,False,,"Grenache Blanc, Vermentino, Macabeo"
Arnaud de Villeneuve N°153 Rouge Côtes du Roussillon AOP,53.0,France,Roussillon,Cotes du Roussillon AOC,,2019.0,0.75,13.0,16-18,red,,dry,average,,False,False,,"Grenache, Mourvedre / Monastrell, Syrah"
Arnaud de Villeneuve Chardonnay Classic Côtes Catalanes,48.0,France,Roussillon,Vin de Pays des Cotes Catalanes,,2022.0,0.75,12.5,10-12,white,,dry,average,,False,False,,Chardonnay
Arnaud de Villeneuve Rivesaltes Ambré 10 ans Tradition Vin Doux Naturel AOP,99.0,France,Roussillon,Vin Doux Naturel AOP,,,0.75,15.5,10-12,white,,sweet,full,,False,False,,"Macabeo, Grenache Blanc, Grenache Gris"
Arnaud de Villeneuve Rivesaltes Ambré 5 ans Tradition Vin Doux Naturel AOP,79.0,France,Roussillon,Vin Doux Naturel AOP,,,0.75,16.0,10-12,white,,sweet,full,,False,False,,"Macabeo, Grenache Blanc, Grenache Gris"
Arnaud de Villeneuve to bi or not to bi Macabeu-Grenache Côtes Catalanes,41.0,France,Roussillon,Vin de Pays des Cotes Catalanes,,2022.0,0.75,13.0,10-12,white,,dry,average,,False,False,,"Macabeo, Grenache Blanc"
Arnaud de Villeneuve to bi or not to bi Merlot-Grenache Côtes Catalanes,41.0,France,Roussillon,Vin de Pays des Cotes Catalanes,,2021.0,0.75,13.0,16,red,,dry,average,,False,False,,"Grenache, Merlot"
Arnaud de Villeneuve Vin Doux Naturel Muscat De Rivesaltes,86.0,France,Roussillon,Muscat de Rivesaltes AOC,,2021.0,0.75,15.5,10-12,white,,sweet,full,,False,False,,Muscat
Arnaud de Villeneuve Viognier Classic Côtes Catalanes,48.0,France,Roussillon,Vin de Pays des Cotes Catalanes,,2021.0,0.75,12.5,10-12,white,,dry,average,,False,False,,Viognier
Arrogant Frog Croak Rotie Shiraz Pays d'Oc IGP,57.0,France,Languedoc (Languedoc),Pays d’Oc IGP,,2020.0,0.75,13.0,15,red,,dry,full,,False,False,,Syrah
Arrogant Frog Croak Rotie Syrah-Viogner Pays d’Oc IGP,58.0,France,Languedoc (Languedoc),Pays d’Oc IGP,,2021.0,0.75,13.0,15,red,,dry,full,,False,False,,"Mourvedre / Monastrell, Cabernet Franc, Syrah, Cabernet Sauvignon, Merlot, Grenache"
Arrogant Frog GSM Reserve Languedoc AOP,69.0,France,Languedoc (Languedoc),Languedoc  AOP,,2021.0,0.75,14.0,16-18,red,,dry,full,,False,False,,"Grenache, Mourvedre / Monastrell, Syrah"
Arrogant Frog Tutti Frutti Blanc Pays d’Oc IGP,45.0,France,Languedoc (Languedoc),Pays d’Oc IGP,,2022.0,0.75,13.0,10-12,white,,dry,average,,False,False,,"Colombard, Sauvignon Blanc, Grenache Blanc, Muscat, Ugni Blanc, Viognier, Vermentino, Chardonnay"
Arrogant Frog Tutti Frutti Rouge Pays d’Oc IGP,45.0,France,Languedoc (Languedoc),Pays d’Oc IGP,,2020.0,0.75,13.0,15,red,,dry,average,,False,False,,"Mourvedre / Monastrell, Cabernet Franc, Syrah, Cabernet Sauvignon, Merlot, Grenache"
