Film,U.S. release date,Box office gross Domestic (U.S. and Canada ),Box office gross Other territories,Box office gross Worldwide,Budget,MCU,Phase,Distributor,MPAA Rating,Length,Minutes,Franchise,Character Family,Domestic %,Gross to Budget,Rotten Tomatoes Critic Score,Male/Female-led,Year,Inflation Adjusted Worldwide Gross,Inflation Adjusted Budget,2.5x prod,Break Even
Ant-Man and the Wasp,06/07/2018,"$216,648,740","$406,025,399","$622,674,139","$162,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,01:58:00,118,Marvel,Ant-Man,35%,3.84,87,Co-starring,2018,"$622,674,139","$162,000,000","$405,000,000",Success
Teen Titans Go! To the Movies,27/07/2018,"$29,790,236","$22,600,000","$52,390,236","$10,000,000",FALSE,NA,Warner Bros.,PG,01:24:00,84,DC,Teen Titans,57%,5.24,91,Co-starring,2018,"$63,572,054","$12,134,333","$25,000,000",Success
Venom,05/10/2018,"$213,515,506","$642,569,645","$856,085,151","$100,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,01:52:00,112,Marvel,Spider-Man Allies and Villains,25%,8.56,30,Male,2018,"$856,085,151","$100,000,000","$250,000,000",Success
Spider-Man: Into the Spider-Verse,14/12/2018,"$190,241,310","$194,057,426","$384,298,736","$90,000,000",FALSE,NA,Sony Pictures Entertainment ,PG,01:57:00,117,Marvel,Spider-Man,50%,4.27,97,Male,2018,"$384,298,736","$90,000,000","$225,000,000",Success
Aquaman,21/12/2018,"$335,061,807","$816,900,000","$1,151,961,807","$160,000,000",FALSE,NA,Warner Bros.,PG-13,02:23:00,143,DC,Aquaman,29%,7.20,66,Male,2018,"$1,397,828,760","$194,149,320","$400,000,000",Success
Captain Marvel,08/03/2019,"$426,829,839","$704,586,607","$1,131,416,446","$152,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:03:00,123,Marvel,Captain Marvel,38%,7.44,79,Female,2019,"$1,131,416,446","$152,000,000","$380,000,000",Success
Shazam!,05/04/2019,"$140,480,049","$227,318,962","$367,799,011","$100,000,000",FALSE,NA,Warner Bros.,PG-13,02:12:00,132,DC,Shazam,38%,3.68,90,Male,2019,"$438,356,630","$119,183,744","$250,000,000",Success
Avengers: Endgame,26/04/2019,"$858,373,000","$1,941,066,100","$2,799,439,100","$356,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,03:01:00,181,Marvel,Avengers,31%,7.86,94,Male,2019,"$2,799,439,100","$356,000,000","$890,000,000",Success
Dark Phoenix,07/06/2019,"$65,845,974","$186,597,000","$252,442,974","$200,000,000",FALSE,NA,Twentieth Century Fox,PG-13,01:53:00,113,Marvel,X-Men,26%,1.26,22,Female,2019,"$252,442,974","$200,000,000","$500,000,000",Flop
Spider-Man: Far From Home,02/07/2019,"$390,532,085","$741,395,911","$1,131,927,996","$160,000,000",TRUE,3,Sony Pictures Entertainment ,PG-13,02:09:00,129,Marvel,Spider-Man,35%,7.07,90,Male,2019,"$1,131,927,996","$160,000,000","$400,000,000",Success
Joker,04/10/2019,"$335,477,657","$743,480,625","$1,078,958,282","$55,000,000",FALSE,NA,Warner Bros.,R,02:02:00,122,DC,Batman,31%,19.62,69,Male,2019,"$1,285,942,872","$65,551,059","$137,500,000",Success
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),07/02/2020,"$84,172,791","$121,200,000","$205,372,791","$84,500,000",FALSE,NA,Warner Bros.,R,01:49:00,109,DC,Birds of Prey,41%,2.43,78,Female,2020,"$241,788,079","$99,482,958","$211,250,000",Flop
The New Mutants,28/08/2020,"$23,852,659","$25,316,935","$49,169,594","$67,000,000",FALSE,NA,20th Century Studios,PG-13,01:34:00,94,Marvel,X-Men,49%,0.73,36,Co-starring,2020,"$49,169,594","$67,000,000","$167,500,000",Flop
Wonder Woman 1984,25/12/2020,"$46,801,036","$122,800,000","$169,601,036","$200,000,000",FALSE,NA,Warner Bros.,PG-13,02:31:00,151,DC,Wonder Woman,28%,0.85,58,Female,2020,"$199,673,523","$235,462,622","$500,000,000",Flop
Black Widow,09/07/2021,"$183,651,655","$196,100,000","$379,751,655","$247,500,000",TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:14:00,134,Marvel,Black Widow,48%,1.53,79,Female,2021,"$379,751,655","$247,500,000","$618,750,000",Flop
The Suicide Squad,06/08/2021,"$55,817,425","$112,900,000","$168,717,425","$185,000,000",FALSE,NA,Warner Bros.,R,02:12:00,132,DC,Suicide Squad,33%,0.91,90,Male,2021,"$189,720,141","$208,029,645","$462,500,000",Flop
Shang-Chi and the Legend of the Ten Rings,03/09/2021,"$224,543,292","$207,700,000","$432,243,292","$200,000,000",TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:12:00,132,Marvel,Shang-Chi,52%,2.16,92,Male,2021,"$432,243,292","$200,000,000","$500,000,000",Flop
Venom: Let There Be Carnage,01/10/2021,"$213,550,366","$293,313,226","$506,863,592","$110,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,01:37:00,97,Marvel,Spider-Man Allies and Villains,42%,4.61,57,Male,2021,"$506,863,592","$110,000,000","$275,000,000",Success
Eternals,05/11/2021,"$164,870,234","$237,194,665","$402,064,899","$236,200,000",TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:36:00,156,Marvel,Eternals,41%,1.70,47,Female,2021,"$402,064,899","$236,200,000","$590,500,000",Flop
Spider-Man: No Way Home,17/12/2021,"$814,115,070","$1,107,732,041","$1,921,847,111","$200,000,000",TRUE,4,Sony Pictures Entertainment ,PG-13,02:28:00,148,Marvel,Spider-Man,42%,9.61,93,Male,2021,"$1,921,847,111","$200,000,000","$500,000,000",Success
The Batman,04/03/2022,"$369,345,583","$402,900,000","$772,245,583","$200,000,000",FALSE,NA,Warner Bros.,PG-13,02:56:00,176,DC,Batman,48%,3.86,85,Male,2022,"$804,033,595","$208,232,617","$500,000,000",Success
Morbius,01/04/2022,"$73,865,530","$93,595,431","$167,460,961","$75,000,000",FALSE,NA,Columbia Pictures,PG-13,01:44:00,104,Marvel,Spider-Man Allies and Villains,44%,2.23,15,Male,2022,"$167,460,961","$75,000,000","$187,500,000",Flop
Doctor Strange in the Multiverse of Madness,06/05/2022,"$411,331,607","$544,444,197","$955,775,804","$294,500,000",TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:06:00,126,Marvel,Doctor Strange,43%,3.25,73,Male,2022,"$955,775,804","$294,500,000","$736,250,000",Success
Thor: Love and Thunder,08/07/2022,"$343,256,830","$417,671,251","$760,928,081","$250,000,000",TRUE,4,Walt Disney Studios Motion Pictures,PG-13,01:58:00,118,Marvel,Thor,45%,3.04,63,Male,2022,"$760,928,081","$250,000,000","$625,000,000",Success
DC League of Super-Pets,29/07/2022,"$93,657,117","$113,900,000","$207,557,117","$90,000,000",FALSE,NA,Warner Bros.,PG,01:46:00,106,DC,Justice League,45%,2.31,72,Male,2022,"$216,100,809","$93,704,678","$225,000,000",Flop
Black Adam,21/10/2022,"$168,152,111","$225,100,000","$393,252,111","$200,000,000",FALSE,NA,Warner Bros.,PG-13,02:05:00,125,DC,Shazam,43%,1.97,38,Male,2022,"$409,439,582","$208,232,617","$500,000,000",Flop
Black Panther: Wakanda Forever,11/11/2022,"$453,829,060","$405,379,776","$859,208,836","$250,000,000",TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:41:00,161,Marvel,Black Panther,53%,3.44,83,Female,2022,"$859,208,836","$250,000,000","$625,000,000",Success
Ant-Man and the Wasp: Quantumania,17/02/2023,"$214,504,909","$261,566,271","$476,071,180","$200,000,000",TRUE,5,Walt Disney Studios Motion Pictures,PG-13,02:04:00,124,Marvel,Ant-Man,45%,2.38,46,Co-starring,2023,"$476,071,180","$200,000,000","$500,000,000",Flop
Shazam! Fury of the Gods,17/03/2023,"$57,638,006","$76,200,000","$133,838,006","$125,000,000",FALSE,NA,Warner Bros.,PG-13,02:10:00,130,DC,Shazam,43%,1.07,49,Male,2023,"$133,838,006","$125,000,000","$312,500,000",Flop
