user_id,location,age
142,"derby, kansas, usa",
143,"san francisco, california, usa",26
144,"cape girardeau, missouri, usa",62
145,"inverness, scotland, united kingdom",
146,"la, california, usa",
147,"west haverstraw, new york, usa",
148,"essex, england, united kingdom",63
149,"ljubljana, n/a, slovenia",
150,"mashhad, islam, iran",25
151,"darwin, northern territory, australia",
152,"enschede, overijssel, netherlands",26
153,"lille, nord of france, france",24
154,"saskatoon, saskatchewan, canada",
155,"lion, abruzzo, peru",
156,"sarajevo, n/a, bosnia and herzegovina",20
157,"legnano, lombardia, italy",36
158,"nufringen, baden-wuerttemberg, germany",38
159,"plymouth, minnesota, usa",
160,"almada, n/a, portugal",20
161,"lisboa, lisboa, portugal",27
162,"newark, delaware, usa",
163,"carlsbad, california, vietnam",
164,"tuxtla gutierrez, chiapas, mexico",33
165,"olympia, washington, usa",62
166,"bacchus marsh, victoria, australia",20
167,"helena, montana, usa",
168,"sunnyvale, california, usa",44
169,"arlington, virginia, usa",
170,"roswell, georgia, usa",
171,"itaí, são paulo, brazil",29
172,"rio de janeiro, rio de janeiro, brazil",66
173,"ames, iowa, usa",
174,"kandy, central, sri lanka",31
175,"porto, n/a, portugal",
176,"london, london, united kingdom",34
177,"amsterdam, n/a, netherlands",46
178,"rexford, new york, usa",28
179,"wazirabad, punjab, pakistan",
180,"copenhagen n, n/a, denmark",
181,"karachi, sindh, pakistan",
182,"buitenpost, fryslân, netherlands",36
183,"porto, porto, portugal",27
184,"seattle, washington, usa",
185,"baton rouge, louisiana, usa",17
186,"jacksonville, north carolina, usa",
187,"mcas futenma fpo ap okinawa, n/a, usa",29
188,"portland, oregon, usa",17
189,"blankenberge, n/a, belgium",31
190,"wezembeek-oppem, brussels, belgium",33
191,"berlin, berlin, germany",40
192,"sunnyvale, california, usa",
193,"mumbai, maharashtra, india",23
194,"lake forest, illinois, usa",
195,"chandler, arizona, usa",23
196,"subang jaya, selangor darul ehsan, malaysia",33
197,"brantford, ontario, canada",
198,"augsburg, bayern, germany",21
199,"austin, texas, usa",38
200,"aberdeen, scotland, united kingdom",27
201,"sharjah, sharjah, u.a.e",
202,"ottawa, ontario, canada",28
203,"charleston, south carolina, usa",
204,"turner, oregon, usa",15
205,"istanbul, victoria, turkey",23
206,"versailles, ile de france, france",60
207,"west bend, wisconsin, usa",
208,"bremen, bremen, germany",
209,"pj, selangor, malaysia",21
210,"albany, new york, usa",54
211,"lleida, lleida, spain",21
212,"manila, n/a, philippines",21
213,"gainesville, florida, usa",
214,"longmont, colorado, usa",27
215,"port alberni, british columbia, canada",20
216,"barcelona, georgia, spain",42
217,"spencer, massachusetts, usa",
218,"hyderabad, alabama, india",41
219,"bismark, sachsen-anhalt, greece",
220,"bogota, bogota, colombia",0
221,"palm beach, florida, usa",79
222,"kingston, massachusetts, usa",
223,"wazirabad, punjab, pakistan",
224,"strafford, missouri, usa",
225,"elgin, texas, usa",
226,"new york, new york, usa",
227,"high wycombe, bucks, united kingdom",
228,"ann arbor, michigan, usa",41
229,"delhi, delhi, india",22
230,"ny, new york, usa",
231,"mumbai, maharashtra, india",
232,"mumbai, maharashtra, india",16
233,"tampere, pirkanmaa, finland",
234,"joensuu, n/a, finland",25
235,"oeiras, lisboa, portugal",22
236,"s. pasadena, california, usa",
237,"plymouth, minnesota, usa",27
238,"guildford, surrey, united kingdom",23
239,"fort worth, texas, usa",
240,"brisbane, queensland, australia",20
241,"auburn, alabama, usa",
242,"neuffen, baden-wuerttemberg, germany",37
243,"arden hills, minnesota, usa",
244,"college station, texas, usa",
245,"lajolla, california, usa",31
246,"tananger, rogaland, norway",16
247,"zografou, athens, greece",23
248,"chilliwack, british columbia, canada",15
249,"amsterdam, noord-holland, netherlands",29
250,"minneapolis, minnesota, usa",25
251,"valladolid, castilla y león, spain",54
252,"13001 safat, kuwait, kuwait",65
253,"milano, lombardia, italy",28
254,"minneapolis, minnesota, usa",24
255,"antofagasta, alabama, chile",32
256,"boston, massachusetts, usa",
257,"quit, quit, quit",
258,"ljk, lkj, lj",
259,"jacksonville, north carolina, usa",45
260,"chisholm, minnesota, usa",51
261,"lonsee, baden-wuerttemberg, germany",45
262,"rockford, illinois, usa",28
263,"houston, texas, usa",
264,"taipei, n/a, taiwan",23
265,"tianjin, n/a, china",24
266,"kalgary, alberta, canada",
267,"cleveland, ohio, usa",29
268,"århus, \n/a\"", denmark""",
269,"aarhus, jylland, denmark",
270,"tawern, rheinland-pfalz, germany",
271,"karachi, pakistan, pakistan",22
272,"walla walla, washington, usa",20
273,"snohomish, washington, usa",
274,"bologna, emilia romagna, italy",26
275,"calgary, alberta, canada",
276,"hillsboro, oregon, usa",
277,"dubbo, new south wales, australia",15
278,"chicago, illinois, usa",21
279,"berkshire, england, united kingdom",
280,"yakima, washington, usa",
281,"dresden, sachsen, germany",31
282,"victoria, british columbia, canada",
283,"gig harbor, washington, usa",
284,"barcelona, barcelona, spain",35
285,"cambridge, cambridgeshire, united kingdom",
286,"seattle, washington, usa",17
287,"gardena, california, usa",
288,"hallowell, maine, usa",19
289,"tampa, florida, usa",15
290,"ravenna, ohio, usa",
291,"ft. collins, colorado, usa",
292,"tucson, arizona, usa",22
293,"winnipeg, manitoba, canada",25
294,"poway, california, usa",
295,"lanham, maryland, usa",28
296,"lleida, lleida, spain",21
297,"daly city, california, usa",27
298,"oakland, california, usa",
299,"paris, paris, france",42
