,Company A,Company B,Company C,Company D
2023-02-18,2.18,2.64,8.88,13.23
2023-02-19,3.02,3.20,9.16,14.00
2023-02-20,3.09,2.92,9.25,12.66
2023-02-21,1.93,2.64,7.72,11.21
2023-02-22,1.90,2.19,7.06,12.46
2023-02-23,2.08,4.24,7.13,13.10
2023-02-24,0.79,5.09,6.86,13.21
2023-02-25,2.34,5.52,7.11,13.13
2023-02-26,2.46,5.07,7.59,11.95
2023-02-27,0.93,5.02,8.55,10.89
2023-02-28,0.24,5.98,8.17,11.29
2023-03-01,0.00,5.94,10.83,12.05
2023-03-02,0.00,6.31,10.01,11.09
2023-03-03,0.00,5.85,9.91,10.83
2023-03-04,0.00,6.63,9.35,12.20
2023-03-05,0.00,8.59,8.91,12.42
2023-03-06,0.00,9.15,9.65,11.79
2023-03-07,0.00,9.34,9.12,12.08
2023-03-08,0.00,10.25,9.23,10.46
2023-03-09,0.00,10.33,11.29,10.01
2023-03-10,0.00,12.38,11.37,10.80
2023-03-11,0.00,12.67,10.04,10.71
2023-03-12,0.00,13.15,8.24,10.41
2023-03-13,0.00,13.69,7.96,11.00
2023-03-14,0.00,12.26,9.20,10.02
2023-03-15,0.00,12.74,8.87,10.54
2023-03-16,0.00,11.73,10.85,10.23
2023-03-17,0.00,12.93,10.89,11.75
2023-03-18,0.00,11.89,9.40,12.94
2023-03-19,0.00,11.87,9.24,13.78
2023-03-20,0.00,11.37,9.71,15.25
2023-03-21,0.00,8.11,8.79,15.96
2023-03-22,0.00,9.30,7.47,16.38
2023-03-23,0.00,9.07,8.11,17.22
2023-03-24,0.00,8.49,7.14,17.56
2023-03-25,0.00,10.14,5.91,19.78
2023-03-26,0.00,10.04,4.98,19.32
2023-03-27,0.00,9.06,4.33,19.11
2023-03-28,0.00,10.08,2.64,18.98
2023-03-29,0.00,10.97,3.01,18.24
2023-03-30,0.00,11.38,3.05,17.46
2023-03-31,0.00,11.58,2.64,15.17
2023-04-01,0.00,12.00,3.13,15.20
2023-04-02,0.00,13.55,2.46,14.69
2023-04-03,0.00,13.29,2.26,14.97
2023-04-04,0.00,14.88,2.43,14.84
2023-04-05,0.00,15.60,2.57,14.45
2023-04-06,0.00,15.00,3.19,13.98
2023-04-07,0.00,15.29,4.47,15.06
2023-04-08,0.00,14.26,3.54,12.75
2023-04-09,0.00,14.13,4.20,12.81
2023-04-10,0.00,13.43,2.45,13.10
2023-04-11,0.00,12.83,1.37,13.25
2023-04-12,0.00,11.23,0.00,14.21
2023-04-13,0.00,11.26,0.00,12.87
2023-04-14,0.00,11.70,0.00,12.47
2023-04-15,0.00,10.27,0.00,12.03
2023-04-16,0.00,10.58,0.00,11.01
2023-04-17,0.00,10.20,0.00,11.49
2023-04-18,0.00,11.41,0.00,10.12
2023-04-19,0.00,11.83,0.00,10.66
2023-04-20,0.00,10.12,0.00,10.90
2023-04-21,0.00,10.54,0.00,11.66
2023-04-22,0.00,10.24,0.00,12.92
2023-04-23,0.00,10.06,0.00,12.74
2023-04-24,0.00,10.03,0.00,10.76
2023-04-25,0.00,10.00,0.00,9.73
2023-04-26,0.00,8.60,0.00,8.71
2023-04-27,0.00,9.29,0.00,8.67
2023-04-28,0.00,9.40,0.00,9.45
2023-04-29,0.00,9.79,0.00,9.50
2023-04-30,0.00,9.38,0.00,8.60
2023-05-01,0.00,7.21,0.00,8.94
2023-05-02,0.00,7.86,0.00,8.20
2023-05-03,0.00,8.50,0.00,8.26
2023-05-04,0.00,8.37,0.00,9.41
2023-05-05,0.00,9.48,0.00,10.21
2023-05-06,0.00,9.54,0.00,8.70
2023-05-07,0.00,8.90,0.00,7.62
2023-05-08,0.00,8.11,0.00,7.22
2023-05-09,0.00,6.44,0.00,7.91
2023-05-10,0.00,6.83,0.00,8.02
2023-05-11,0.00,6.00,0.00,7.40
2023-05-12,0.00,6.50,0.00,5.90
2023-05-13,0.00,5.78,0.00,5.04
2023-05-14,0.00,6.01,0.00,6.05
2023-05-15,0.00,5.08,0.00,6.76
2023-05-16,0.00,6.43,0.00,5.62
2023-05-17,0.00,5.01,0.00,6.32
2023-05-18,0.00,5.52,0.00,7.00
2023-05-19,0.00,5.71,0.00,8.18
2023-05-20,0.00,4.53,0.00,7.98
2023-05-21,0.00,2.74,0.00,9.56
2023-05-22,0.00,3.69,0.00,10.47
2023-05-23,0.00,5.45,0.00,10.86
2023-05-24,0.00,4.54,0.00,11.73
2023-05-25,0.00,5.23,0.00,13.16
2023-05-26,0.00,3.91,0.00,12.78
2023-05-27,0.00,3.88,0.00,12.64
2023-05-28,0.00,3.28,0.00,12.80
2023-05-29,0.00,4.71,0.00,10.98
2023-05-30,0.00,4.02,0.00,11.35
2023-05-31,0.00,5.39,0.00,11.42
2023-06-01,0.00,4.71,0.00,13.02
2023-06-02,0.00,5.46,0.00,12.88
2023-06-03,0.00,4.73,0.00,12.21
2023-06-04,0.00,5.62,0.00,12.37
2023-06-05,0.00,7.20,0.00,12.71
2023-06-06,0.00,8.64,0.00,11.25
2023-06-07,0.00,9.30,0.00,10.47
2023-06-08,0.00,10.90,0.00,12.28
2023-06-09,0.00,10.43,0.00,10.77
2023-06-10,0.00,9.80,0.00,7.91
2023-06-11,0.00,8.88,0.00,7.57
2023-06-12,0.00,7.66,0.00,7.42
2023-06-13,0.00,7.69,0.00,8.18
2023-06-14,0.00,6.09,0.00,7.58
2023-06-15,0.00,5.89,0.00,8.04
2023-06-16,0.00,5.34,0.00,8.43
2023-06-17,0.00,3.51,0.00,10.06
2023-06-18,0.00,2.27,0.00,9.63
2023-06-19,0.00,0.55,0.00,9.72
2023-06-20,0.00,0.54,0.00,9.74
2023-06-21,0.00,1.37,0.00,9.06
2023-06-22,0.00,1.15,0.00,10.44
2023-06-23,0.00,0.17,0.00,11.02
2023-06-24,0.00,1.09,0.00,12.07
2023-06-25,0.00,1.56,0.00,11.78
2023-06-26,0.00,0.30,0.00,13.54
2023-06-27,0.00,0.00,0.00,13.27
2023-06-28,0.00,0.00,0.00,12.10
2023-06-29,0.00,0.00,0.00,11.10
2023-06-30,0.00,0.00,0.00,12.34
2023-07-01,0.00,0.15,0.00,12.29
2023-07-02,0.00,0.00,0.00,12.39
2023-07-03,0.00,0.00,0.00,10.78
2023-07-04,0.00,0.42,0.00,10.50
2023-07-05,0.00,1.34,0.63,10.49
2023-07-06,0.00,3.15,1.87,10.27
2023-07-07,0.00,3.72,3.21,11.69
2023-07-08,0.00,4.60,2.59,11.84
2023-07-09,0.00,5.23,3.11,13.22
2023-07-10,0.00,4.17,2.74,13.29
2023-07-11,0.00,4.27,3.08,12.89
2023-07-12,0.00,3.87,2.43,11.63
2023-07-13,0.00,3.80,1.65,13.88
2023-07-14,0.00,4.32,2.31,12.76
2023-07-15,0.00,6.36,4.60,12.51
2023-07-16,0.00,6.04,5.47,12.82
2023-07-17,0.00,6.01,5.88,12.97
2023-07-18,0.00,5.46,5.86,14.03
2023-07-19,0.00,5.00,4.20,13.94
2023-07-20,0.00,5.77,3.02,14.51
2023-07-21,0.00,7.39,2.92,13.09
2023-07-22,0.00,8.37,2.09,11.48
2023-07-23,0.00,8.73,3.23,10.52
2023-07-24,0.00,7.27,4.38,11.70
2023-07-25,0.00,6.88,4.57,11.85
2023-07-26,0.00,7.80,6.43,11.86
2023-07-27,0.00,5.90,6.61,13.73
2023-07-28,0.00,4.53,7.16,15.01
2023-07-29,0.00,3.96,6.40,15.15
2023-07-30,0.00,2.72,5.49,16.25
2023-07-31,0.00,2.73,6.46,15.83
2023-08-01,0.00,2.02,5.73,14.08
2023-08-02,0.00,2.24,4.61,14.02
2023-08-03,0.00,3.44,5.67,12.81
2023-08-04,0.00,3.33,4.37,13.31
2023-08-05,0.00,4.73,6.42,13.30
2023-08-06,0.00,5.58,5.68,12.52
2023-08-07,0.00,4.43,5.30,11.83
2023-08-08,0.00,4.09,7.24,11.61
2023-08-09,0.00,2.36,8.94,12.81
2023-08-10,0.00,2.96,8.62,12.70
2023-08-11,0.00,3.92,8.99,12.71
2023-08-12,0.00,2.70,10.08,10.58
2023-08-13,0.00,3.14,11.88,9.81
2023-08-14,0.00,1.95,10.28,10.02
2023-08-15,0.00,1.16,11.38,11.79
2023-08-16,0.00,1.33,12.52,11.11
2023-08-17,0.00,2.73,11.93,9.87
2023-08-18,0.00,3.01,13.18,10.01
2023-08-19,0.00,4.26,12.67,10.56
2023-08-20,0.00,4.66,13.48,9.25
2023-08-21,0.00,3.32,13.37,9.39
2023-08-22,0.00,3.22,12.85,7.94
2023-08-23,0.00,2.36,13.33,8.09
2023-08-24,0.00,1.26,13.94,6.91
2023-08-25,0.00,2.79,14.29,7.21
2023-08-26,0.00,2.13,14.10,6.68
2023-08-27,0.00,3.11,13.98,9.09
2023-08-28,0.00,2.80,13.91,10.40
2023-08-29,0.00,2.77,11.83,9.89
2023-08-30,0.00,2.80,11.77,9.46
2023-08-31,0.00,4.47,11.91,7.97
2023-09-01,0.00,3.45,12.18,7.41
2023-09-02,0.00,2.98,13.36,8.03
2023-09-03,0.00,2.32,12.32,4.53
2023-09-04,0.00,2.46,12.86,4.14
2023-09-05,0.00,1.87,14.29,4.99
2023-09-06,0.00,2.19,14.51,5.69
2023-09-07,0.00,2.92,13.30,6.50
2023-09-08,0.00,4.28,14.46,6.46
2023-09-09,0.00,3.89,15.49,5.26
2023-09-10,0.00,2.93,13.80,5.14
2023-09-11,0.00,4.11,13.50,5.03
2023-09-12,0.00,3.99,11.91,3.48
2023-09-13,0.00,2.53,13.43,3.39
2023-09-14,0.00,2.20,12.81,2.35
2023-09-15,0.00,0.50,13.10,3.50
2023-09-16,0.00,0.00,14.70,2.30
2023-09-17,0.00,0.00,13.29,2.17
2023-09-18,0.00,0.00,13.37,1.95
2023-09-19,0.00,0.77,13.56,0.55
2023-09-20,0.00,0.40,12.25,1.94
2023-09-21,0.00,0.00,12.60,2.05
2023-09-22,0.00,0.00,12.23,1.06
2023-09-23,0.00,0.00,10.98,0.00
2023-09-24,0.00,0.00,10.07,0.00
2023-09-25,0.00,0.00,12.27,0.00
2023-09-26,0.00,0.00,11.95,0.00
2023-09-27,0.00,0.00,11.70,0.00
2023-09-28,0.00,0.00,12.01,0.00
2023-09-29,0.00,0.00,14.03,0.00
2023-09-30,0.00,0.00,14.38,0.00
2023-10-01,0.00,0.00,14.17,0.00
2023-10-02,0.00,0.00,14.25,0.00
2023-10-03,0.00,0.00,13.84,0.00
2023-10-04,0.00,0.00,15.67,0.00
2023-10-05,0.00,0.00,13.47,0.00
2023-10-06,0.00,0.00,13.15,0.00
2023-10-07,0.00,0.00,12.64,0.00
2023-10-08,0.00,0.00,13.38,0.00
2023-10-09,0.00,0.00,15.13,0.00
2023-10-10,0.00,0.00,14.47,0.00
2023-10-11,0.00,0.00,15.41,0.00
2023-10-12,0.00,0.00,14.11,0.00
2023-10-13,0.00,0.00,14.46,0.00
2023-10-14,0.00,0.00,14.53,0.00
2023-10-15,0.00,0.00,12.88,0.00
2023-10-16,0.00,0.00,11.38,0.00
2023-10-17,0.00,0.00,11.69,0.00
2023-10-18,0.00,0.00,11.84,0.00
2023-10-19,0.00,0.00,12.46,0.00
2023-10-20,0.00,0.00,13.27,0.00
2023-10-21,0.00,0.00,15.30,0.00
2023-10-22,0.00,0.00,13.94,0.00
2023-10-23,0.00,0.00,14.54,0.00
2023-10-24,0.00,0.00,14.45,0.00
2023-10-25,0.00,0.00,14.78,0.00
2023-10-26,0.00,0.00,13.84,0.00
2023-10-27,0.00,0.00,14.00,0.00
2023-10-28,0.00,0.00,12.88,0.00
2023-10-29,0.00,0.00,14.72,0.00
2023-10-30,0.00,0.00,14.02,0.00
2023-10-31,0.00,0.00,13.05,0.00
2023-11-01,0.00,0.00,12.04,0.00
2023-11-02,0.00,0.00,12.04,0.00
2023-11-03,0.00,0.00,9.96,0.00
2023-11-04,0.00,0.00,10.05,0.00
2023-11-05,0.00,0.00,9.99,0.00
2023-11-06,0.00,0.00,12.31,0.00
2023-11-07,0.00,0.00,10.76,0.00
2023-11-08,0.00,0.00,10.91,0.00
2023-11-09,0.00,0.00,11.78,0.00
2023-11-10,0.00,0.00,12.98,0.00
2023-11-11,0.00,0.00,11.69,0.00
2023-11-12,0.00,0.00,11.76,0.00
2023-11-13,0.00,0.00,11.02,0.00
2023-11-14,0.00,0.00,9.19,0.00
2023-11-15,0.00,0.00,7.89,0.00
2023-11-16,0.00,0.00,7.28,0.87
2023-11-17,0.00,0.00,6.84,0.78
2023-11-18,0.00,0.00,6.55,0.00
2023-11-19,0.00,0.00,6.81,0.00
2023-11-20,0.00,0.00,8.48,0.00
2023-11-21,0.00,0.00,7.72,0.00
2023-11-22,0.00,0.00,8.19,0.56
2023-11-23,0.00,0.00,10.16,0.00
2023-11-24,0.00,0.00,11.21,0.00
2023-11-25,0.00,0.00,10.23,0.22
2023-11-26,0.00,0.00,11.98,0.00
2023-11-27,0.00,0.00,12.35,0.00
2023-11-28,0.00,0.00,10.81,0.70
2023-11-29,0.00,0.00,10.81,1.60
2023-11-30,0.00,0.00,10.24,1.53
2023-12-01,0.00,0.00,9.77,3.54
2023-12-02,0.00,0.00,8.67,3.16
2023-12-03,0.00,0.00,8.06,4.04
2023-12-04,0.00,0.00,8.03,3.16
2023-12-05,0.00,0.00,7.53,2.86
2023-12-06,0.00,0.00,6.72,3.60
2023-12-07,0.00,0.00,5.46,2.86
2023-12-08,0.00,0.00,5.14,4.07
2023-12-09,0.00,0.00,4.88,3.85
2023-12-10,0.00,0.00,5.08,3.93
2023-12-11,0.00,0.00,5.89,2.65
2023-12-12,0.00,0.00,5.47,2.99
2023-12-13,0.00,0.00,6.08,4.81
2023-12-14,0.00,0.00,6.33,4.92
2023-12-15,0.00,0.00,5.86,4.66
2023-12-16,0.00,0.00,4.59,4.56
2023-12-17,0.00,0.00,2.81,6.17
2023-12-18,0.00,0.00,4.08,6.12
2023-12-19,0.00,0.00,6.48,5.59
2023-12-20,0.00,0.00,6.91,4.20
2023-12-21,0.00,0.00,6.09,2.98
2023-12-22,0.00,0.00,6.98,2.57
2023-12-23,0.00,0.00,6.68,1.28
2023-12-24,0.00,0.00,7.20,1.88
2023-12-25,0.00,0.00,6.32,2.65
2023-12-26,0.00,0.00,7.40,2.51
2023-12-27,0.00,0.00,7.05,2.81
2023-12-28,0.00,0.00,7.85,2.02
2023-12-29,0.00,0.00,8.67,1.28
2023-12-30,0.00,0.00,8.39,1.90
2023-12-31,0.00,0.00,6.96,2.16
