Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Reviews
FitBit,FitnessBand,Charge 4,Granite Reflective ,"10,999","11,999",PMOLED Display,4.2,Elastomer,7,
FitBit,FitnessBand,FB413LVLV,Lilac ,"8,807","38,500",AMOLED Display,4.1,Silicone,5,
FitBit,FitnessBand,Flex Small,"Violet, black, Grey, Teal, Blue, Red","8,490","8,490",OLED Display,3.8,Rubber,5,
FitBit,FitnessBand,Inspire HR,Black ,"5,599","8,999",LED Display,4.3,Silicone,5,
FitBit,FitnessBand,Inspire,Black ,"5,299","7,999",LED Display,4.2,Silicone,5,
FitBit,FitnessBand,Charge 3,Grey ,"7,599","13,999",OLED Display,4.3,Silicone,7,
FitBit,Smartwatch,Versa Special Edition,Charcoal ,"10,365","23,499",AMOLED Display,4.1,Fabric,7,
FitBit,Smartwatch,Ionic,Black ,"18,999","24,999",LCD Display,4.1,Elastomer,7,
FitBit,Smartwatch,Versa 2 Special Edition,Multicolor ,"15,499","23,999",AMOLED Display,4.4,Silicone,7,
FitBit,Smartwatch,Ionic,Blue ,"22,499","24,999",LCD Display,4.1,Elastomer,7,
FitBit,Smartwatch,Ionic,Grey ,"26,499","26,499",LCD Display,4.1,Elastomer,7,
FitBit,Smartwatch,Versa,Purple,"16,990","23,499",AMOLED Display,4.1,Silicone,7,
FitBit,Smartwatch,Versa,Grey ,"17,895","21,499",AMOLED Display,4.2,Silicone,7,
FitBit,Smartwatch,Surge,Blue,"24,990","24,990",LCD Display,3.8,Elastomer,7,
FitBit,FitnessBand,Charge 2,Black ,"7,499","14,999",PMOLED Display,4.3,Silicone,7,
FitBit,FitnessBand,Charge 3 Special Edition,"Purple, White","9,999","15,999",OLED Display,4,Silicone,7,
FitBit,Smartwatch,Blaze,Purple,"17,999","19,999",LCD Display,4.2,Elastomer,7,
FitBit,Smartwatch,Blaze,Blue,"19,999","19,999",LCD Display,4.2,Elastomer,7,
FitBit,Smartwatch,Blaze,Black,"22,999","22,999",LCD Display,4.2,Elastomer,7,
FitBit,Smartwatch,Surge,Black,"19,990","19,990",LCD Display,3.8,Elastomer,7,
FitBit,FitnessBand,Alta HR,"Black, Plum, Grey","14,999","14,999",OLED Display,4.3,Elastomer,7,
FitBit,FitnessBand,Charge 2,Plum silver,"14,999","14,999",PMOLED Display,4.4,Silicone,7,
FitBit,Smartwatch,Versa Lite Edition,Purple ,"16,999","16,999",AMOLED Display,4.2,Elastomer,7,
FitBit,Smartwatch,Surge,Orange,"24,990","24,990",LCD Display,3.8,Elastomer,7,
FitBit,Smartwatch,versa,Grey ,"21,499","21,499",AMOLED Display,4.1,Silicone,7,
FitBit,Smartwatch,Versa,Pink ,"16,124","19,999",AMOLED Display,4.1,Silicone,7,
FitBit,FitnessBand,Charge HR,Purple ,"6,990","14,990",OLED Display,3.9,Thermoplastic polyurethane,7,
FitBit,FitnessBand,Charge HR,"Orange, Pink, Green","14,990","14,990",OLED Display,3.9,Thermoplastic polyurethane,7,
FitBit,FitnessBand,Alta HR,"Rose Gold, Gun Metal Black","16,999","16,999",OLED Display,4.3,Elastomer,7,
FitBit,Smartwatch,Versa Lite Edition,Blue ,"14,399","15,999",AMOLED Display,4.2,Elastomer,7,
FitBit,FitnessBand,Alta,"Black, Purple, Teal, Blue","12,999","12,999",OLED Display,4.1,Elastomer,7,
FitBit,Smartwatch,Versa 3,"Black, Blue, Pink","17,999","18,999",AMOLED Display,4.3,Elastomer,7,
FitBit,FitnessBand,Charge 2,Violet ,"14,999","14,999",PMOLED Display,4.3,Silicone,7,
FitBit,Smartwatch,Versa,Black ,"20,590","21,499",AMOLED Display,4.1,Silicone,7,
FitBit,Smartwatch,Versa 2,Purple ,"13,499","21,999",AMOLED Display,4.3,Silicone,7,
FitBit,Smartwatch,Surge,Black,"9,999","19,990",LCD Display,3.8,Elastomer,7,
FitBit,FitnessBand,Charge 3,Black ,"9,999","13,999",OLED Display,4.3,Silicone,7,
FitBit,FitnessBand,Charge 2,Blue ,"7,499","14,999",PMOLED Display,4.3,Silicone,7,
FitBit,FitnessBand,Charge 2,Light Blue,"14,999","14,999",PMOLED Display,4.4,Silicone,7,
FitBit,FitnessBand,Charge 2,Blue ,"8,999","14,999",PMOLED Display,4.4,Silicone,7,
FitBit,FitnessBand,Charge 2,Black ,"7,498","14,999",PMOLED Display,4.3,Silicone,7,
FitBit,FitnessBand,Charge 2,Sky Blue ,"14,999","14,999",PMOLED Display,4.3,Silicone,7,
FitBit,FitnessBand,Inspire HR,Purple ,"5,598","9,999",LED Display,4.3,Silicone,5,
FitBit,FitnessBand,Inspire HR,White ,"5,899","9,999",LED Display,4.3,Silicone,5,
realme,FitnessBand,Band 2,Black,"2,999","3,499",TFT-LCD Display,4.1,Silicone,7,
realme,FitnessBand,Band,Yellow,"1,499","2,999",TFT-LCD Display,4,Silicone,7,
realme,FitnessBand,Smart band,Grey,"1,450","2,999",TFT-LCD Display,4,Silicone,7,
realme,FitnessBand,Band,Black,"1,290","2,999",TFT-LCD Display,4,Silicone,7,
Huawei,FitnessBand,Band 4,Black,"1,899","3,099",TFT-LCD Display,4.2,Silicone,7,
Huawei,FitnessBand,Band 2,Black,"1,699","4,999",PMOLED Display,4.1,Silicone,7,
Huawei,FitnessBand,Band 2,Blue,"6,999","6,999",PMOLED Display,4.2,Silicone,7,
Huawei,FitnessBand,Band 2,Black,"4,599","4,599",PMOLED Display,4.1,Silicone,7,
Huawei,FitnessBand,Band 6,"Pink, Black, Teal, Orange","4,490","9,990",PMOLED Display,4.4,Silicone,7,
Huawei,FitnessBand,Band 2 Pro Activity,"Pink, Black","2,199","5,999",PMOLED Display,4.1,Silicone,7,
Honor,FitnessBand,Band 6,"Sandstone Grey, Meteorite Black, Coral Pink, ","2,999","5,999",AMOLED Display,4.3,Plastic,14,6568
Honor,FitnessBand,Band 4,"Meteorite Black, Midnight Navy","2,700","2,999",AMOLED Display,4.4,Plastic,7,17809
Honor,FitnessBand,Band 3,Dynamic Orange,"2,499","2,999",AMOLED Display,4.3,Plastic,7,23426
Honor,FitnessBand,Band 5i,Black,"2,469","2,999",LCD Display,4.2,Plastic,7,4628
Honor,FitnessBand,Band 3,Navy Blue,"2,499","2,999",PMOLED Display,4.3,Plastic,7,23426
Honor,FitnessBand,Band 5,Black,"2,899","2,999",AMOLED Display,4.4,Plastic,14,4628
Honor,FitnessBand,Band 5,Black,"2,099","2,999",AMOLED Display,4.4,Plastic,14,4628
Honor,FitnessBand,Band 5,Olive Green,"2,199","2,999",AMOLED Display,4.4,Plastic,14,4628
Honor,FitnessBand,Band 4,Black,"2,599","2,999",AMOLED Display,4.4,Plastic,7,17809
Honor,FitnessBand,Band 5i,Black,"1,799","2,999",LCD Display,4.2,Plastic,14,4628
Honor,FitnessBand,band 4 running,Black,"1,649","2,000",AMOLED Display,3.2,Plastic,7,4628
Honor,FitnessBand,Band Z1,Black,"5,499","5,499",AMOLED Display,3.9,Plastic,14,77
Honor,FitnessBand,Band 3,Black,"4,750","5,499",OLED Display,4.3,Plastic,7,122
GOQii,FitnessBand,Beat,Black,"2,999","2,999",OLED Display,2.8,Silicone,7,
GOQii,FitnessBand,Vital 3.0,Black,"3,999","3,999",OLED Display,3.1,Silicone,7,
Infinix,FitnessBand,Band 5,"Black, Blue, Red","1,499","2,999",TFT-LCD Display,3.8,Silicone,4,
LCARE,Smartwatch,Watch,Black,"2,995","4,495",OLED Display,3.5,Silicone,7,
LCARE,FitnessBand,Mambo,Black,"1,699","2,995",OLED Display,3.8,Silicone,4,
LAVA,FitnessBand,BeFit,Black,"1,999","3,499",LCD Display,3.6,Thermoplastic polyurethane,7,
Noise,FitnessBand,ColorFit,"Black, Blue","2,199","2,499",LCD Display,3.6,Silicone,3,
Noise,FitnessBand,ColorFit2,"Black, Blue, Pink","1,699","2,499",TFT-LCD Display,3.9,Thermoplastic polyurethane,7,
Oppo,Smartwatch,46 mm,"Black, Gold","14,990","19,990",AMOLED Display,3.9,Rubber,14,484
Oppo,Smartwatch,41mm,"Pink, Silver, Black","17,990","24,990",AMOLED Display,3.9,Rubber,14,
realme,Smartwatch,2 Pro,Grey,"4,999","5,999",AMOLED Display,4.4,Silicone,14,338
realme,Smartwatch,2S,Black,"3,499","3,999",AMOLED Display,4.2,Silicone,7,928
realme,Smartwatch,S,"Black, White","4,999","7,999",AMOLED Display,4.3,Silicone,14,"4,142"
realme,Smartwatch,S,Black,"6,779","7,999",AMOLED Display,4.3,Silicone,14,
realme,Smartwatch,S Pro,Black,"9,999","12,999",AMOLED Display,4.1,Silicone,14,259
realme,Smartwatch,S Master,Black,"5,999","8,999",AMOLED Display,4.3,Silicone,14,
realme,Smartwatch,Fashion,Black,"5,400","6,999",TFT-LCD Display,4,Silicone,14,
realme,Smartwatch,Classic,Black,"3,921","6,999",TFT-LCD Display,4,Silicone,7,
Fastrack,Smartwatch,Reflex 3.0,"Black, Pink","2,495","2,995",TFT-LCD Display,3.8,Silicone,7,
Fastrack,Smartwatch,Reflex 3.0,Black,"2,200","2,995",TFT-LCD Display,4.1,Silicone,4,
Fastrack,Smartwatch,Reflex Beat,"Purple, Black","1,645","2,195",TFT-LCD Display,4,Silicone,4,
Fastrack,FitnessBand,Reflex Smart Band,"Orange, Red, Black","1,595","1,995",OLED Display,4,Silicone,4,
Fastrack,FitnessBand,Reflex Smart Band,"Green, Grey","1,195","1,995",OLED Display,4.1,Silicone,4,
Fastrack,Smartwatch,Reflex 2.0,"Black, Green","1,395","1,995",TFT-LCD Display,4.1,Silicone,10,
boAt ,Smartwatch,Storm,"Black, Teal Green, Grey","2,999","5,990",LCD Display,4.1,Thermoplastic polyurethane,7,1070
boAt ,Smartwatch,Xplorer,"Black, Red, Blue","3,499","7,990",LCD Display,3.8,Thermoplastic polyurethane,10,23069
boAt ,Smartwatch,Delta,"Black, Grey, Red","2,499","5,990",LCD Display,3.6,Silicone,7,529
boAt ,Smartwatch,O2,"Black, Green","7,990","7,990",LCD Display,4.1,Thermoplastic polyurethane,10,20122
Noise ,Smartwatch,ColorFit Qube SpO2,"Charcoal Grey, Black, Pink","2,499","4,999",AMOLED Display,4.3,Thermoplastic polyurethane,7,
Noise ,Smartwatch,ColorFit Pro 3,"Green, Grey, Black, Blue, Pink, Red","3,999","5,999",AMOLED Display,4.2,Thermoplastic polyurethane,7,
Noise ,Smartwatch,ColorFit Qube SpO2,"Charcoal Black, Beige Gold","2,499","4,999",AMOLED Display,4.3,Thermoplastic polyurethane,7,
Noise ,Smartwatch,ColorFit Brio,"Black, Pink","2,999","5,999",AMOLED Display,4.3,Thermoplastic polyurethane,10,
Noise ,Smartwatch,ColorFit Pro 2,"Black, Deep Wine, Blue, Grey, Teal","2,699","4,999",AMOLED Display,4.1,Silicone,10,
Noise ,Smartwatch,Fit Active,"Blue, Black","3,499","5,999",AMOLED Display,4.2,Silicone,7,
Noise ,Smartwatch,ColorFit Qube,"Black, Green","2,499","4,999",AMOLED Display,4,Thermoplastic polyurethane,7,
Noise ,Smartwatch,ColorFit Pro 2 Oxy,"Black, Blue, Red","2,499","4,999",AMOLED Display,4,Thermoplastic polyurethane,7,
Noise ,Smartwatch,ColorFit Brio,"Black, Green","3,499","5,999",AMOLED Display,4.3,Thermoplastic polyurethane,7,
Noise ,Smartwatch,NoiseFit Endure,"Black, Red, Blue","2,999","5,999",AMOLED Display,3.9,Silicone,7,
Noise ,Smartwatch,NoiseFit Endure,"Grey, Green","2,599","5,999",AMOLED Display,3.9,Silicone,7,
Noise ,Smartwatch,ColorFit Pro,"Black, Blue","2,513","4,999",AMOLED Display,3.9,Silicone,7,
Noise ,Smartwatch,ColorFit Pro,"Green, Teal, Grey","2,499","4,999",AMOLED Display,3.9,Silicone,7,
Noise ,Smartwatch,Fit Evolve,"Red, Black","5,499","7,999",AMOLED Display,3.9,Thermoplastic polyurethane,7,
Noise ,Smartwatch,Fusiom Hybrid,Blue,"5,999","9,999",AMOLED Display,4,Thermoplastic polyurethane,7,
Noise ,Smartwatch,Evolve,"Black, Grey, Red","4,999","7,999",AMOLED Display,3.9,Thermoplastic polyurethane,7,
Noise ,Smartwatch,NoiseFit Endure,"Black, Blue, Teal","2,799","5,999",AMOLED Display,3.9,Thermoplastic polyurethane,7,
Honor,Smartwatch,Z1,Black,"5,499","5,499",OLED Display,3.1,Silicone,14,102
Honor,Smartwatch,GS Pro,Black,"13,999","20,999",AMOLED Display,4.4,Nylon,25,215
Honor,Smartwatch,GS Pro,Blue,"17,999","20,999",AMOLED Display,4.4,Nylon,25,215
Honor,Smartwatch,Watch Magic,Black,"7,999","17,999",AMOLED Display,4.3,Silicone,7,281
Honor,Smartwatch,Magic Watch 2,Brown,"13,999","15,999",AMOLED Display,4.4,Leather,14,1663
Honor,Smartwatch,Watch ES,"Black, Pink","4,999","10,999",AMOLED Display,4.3,Silicone,10,354
Honor,Smartwatch,Magic Watch,Brown,"9,047","17,999",AMOLED Display,4.3,Silicone,7,281
huami,Smartwatch,Amazfit GTS,Beige,"5,499","12,999",AMOLED Display,4.3,Silicone,14,1907
huami,Smartwatch,Amazfit GTS,Black,"5,299","12,999",AMOLED Display,4.3,Silicone,14,1907
huami,Smartwatch,Amazfit GTS,Pink,"5,999","12,999",AMOLED Display,4.3,Silicone,14,1907
huami,Smartwatch,Amazfit GTS,Blue,"5,499","12,999",AMOLED Display,4.3,Silicone,14,1907
huami,Smartwatch,Amazfit Bip U,"Black, Pink","2,999","5,999",AMOLED Display,4.2,Silicone,9,1334
huami,Smartwatch,Amazfit Bip S Lite,Black,"1,999","4,999",AMOLED Display,3.9,Silicone,14,849
huami,Smartwatch,Amazfit T-Rex,"Green, Grey","5,999","10,999",AMOLED Display,4.3,Silicone,20,359
huami,Smartwatch,Amazfit GTS 2e,Purple,"7,999","13,999",AMOLED Display,4.2,Silicone,14,294
huami,Smartwatch,Amazfit GTR 2 Aluminium,"Black, Red","11,999","17,999",AMOLED Display,4.1,Silicone,10,647
huami,Smartwatch,Amazfit GTS 2,Black,"11,999","17,999",AMOLED Display,4.1,Silicone,7,153
huami,Smartwatch,Amazfit GTR 2 Stainless Steel,"Grey, Blue","12,499","17,999",AMOLED Display,4.1,Silicone,10,647
huami,Smartwatch,Amazfit Bip,Black,"5,499","6,999",AMOLED Display,4.2,Silicone,28,4651
huami,Smartwatch,Amazfit GTR 42 mm Glitter,White ,"9,999","16,999",AMOLED Display,4.2,Silicone,12,3
huami,Smartwatch,Amazfit Neo,Black,"2,499","3,999",AMOLED Display,4.2,Thermoplastic polyurethane,7,176
huami,Smartwatch,Amazfit Bip S,Black,"5,299","6,499",AMOLED Display,4,Thermoplastic polyurethane,15,489
huami,Smartwatch,Amazfit GTR 42,Black,"8,999","12,999",AMOLED Display,4.3,Silicone,14,
huami,Smartwatch,Amazfit Stratos 3,Black,"13,999","17,999",AMOLED Display,3.7,Silicone,14,
huami,Smartwatch,Amazfit GTR 42,Red,"9,999","12,999",AMOLED Display,4.3,Silicone,12,146
huami,Smartwatch,Amazfit Pace,Black,"9,999","10,999",AMOLED Display,4.2,Silicone,14,
huami,Smartwatch,Amazfit Bip S,Red,"2,999","4,999",AMOLED Display,3.9,Thermoplastic polyurethane,15,489
huami,Smartwatch,Amazfit Bip S,"Green, Grey","3,799","4,999",AMOLED Display,3.9,Thermoplastic polyurethane,15,489
huami,Smartwatch,Amazfit Bip,Pink,"5,499","5,990",AMOLED Display,4.2,Silicone,28,489
huami,Smartwatch,Amazfit Bip S,White ,"4,999","5,999",AMOLED Display,4,Thermoplastic polyurethane,15,489
huami,Smartwatch,Amazfit GTR 47,Black,"10,999","18,999",AMOLED Display,4.2,Silicone,25,
huami,Smartwatch,Amazfit GTR 47,Black,"8,999","13,999",AMOLED Display,4.3,Silicone,25,176
huami,Smartwatch,Amazfit Verge,Black,"12,999","12,999",AMOLED Display,4.1,Silicone,25,489
huami,Smartwatch,Amazfit Verge,Black,"11,999","12,999",AMOLED Display,4.1,Silicone,25,489
huami,Smartwatch,Amazfit Verge,Black,"5,999","8,999",AMOLED Display,4.2,Silicone,14,489
huami,Smartwatch,Amazfit Bip,Red,"4,950","5,990",AMOLED Display,4.2,Silicone,28,176
huami,Smartwatch,Amazfit Verge,Black,"11,999","12,999",AMOLED Display,4.1,Silicone,7,176
huami,Smartwatch,Amazfit Bip,Purple,"5,499","6,999",AMOLED Display,4.2,Silicone,28,176
huami,Smartwatch,Amazfit Stratos,Black,"12,999","15,999",AMOLED Display,4.2,Silicone,25,103
huami,Smartwatch,Amazfit Bip Lite,Black,"3,499","5,499",AMOLED Display,4,Thermoplastic polyurethane,7,125
huami,Smartwatch,Amazfit Verge Lite,Black,"5,999","8,999",AMOLED Display,4.2,Silicone,5,136
huami,Smartwatch,Amazfit Bip,Grey,"6,399","7,399",AMOLED Display,4.4,Silicone,28,176
huami,Smartwatch,Bip Lite On,Black,"7,999","14,999",AMOLED Display,4.1,Silicone,7,183
SAMSUNG ,Smartwatch,Galaxy Active 2,"Black, Beige","11,990","25,990",AMOLED Display,4.5,Silicone,7,
SAMSUNG ,Smartwatch,Galaxy Active 2,Grey,"12,990","25,990",AMOLED Display,4.5,Silicone,7,
SAMSUNG ,Smartwatch,Galaxy Classic 4,Black,"32,959","37,999",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Classic 4,Silver,"40,000","42,999",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Classic 4,Silver,"34,999","37,999",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,Black,"28,999","31,999",AMOLED Display,5,Elastomer,14,
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,Black,"2,000","2,590",PMOLED Display,3.8,Rubber,7,
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,Yellow,"2,490","2,590",PMOLED Display,3.8,Rubber,7,
SAMSUNG ,FitnessBand,Galaxy Fit,Silver,"8,990","9,990",AMOLED Display,4,Rubber,7,
SAMSUNG ,Smartwatch,Galaxy Watch 3,Black,"28,990","30,990",AMOLED Display,4.3,Leather,14,
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,Black,"31,999","34,999",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Watch 4 Classic LTE,Black,"40,000","42,999",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,Pink,"28,999","31,999",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Active 2,Grey,"18,990","28,490",AMOLED Display,4.1,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy 46mm,Grey,"16,990","33,999",AMOLED Display,4.5,Elastomer,7,
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,"Silver, Green","36,999","39,999",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Active Steel 2 LTE,Brown,"30,990","34,490",AMOLED Display,4.1,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy Active Steel 2,Black,"24,490","31,990",AMOLED Display,4.3,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy Classic 4,Blue,"34,999","34,999",AMOLED Display,4.6,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy Active 42mm,Black,"19,990","19,990",AMOLED Display,4.4,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy 44mm,Beige,"24,490","28,490",AMOLED Display,3.6,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy LTE,Silver,"31,999","31,999",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Gear Fit 2,Blue,"15,000","15,000",AMOLED Display,4.2,Silicone,7,
SAMSUNG ,Smartwatch,Gear Fit,Black,"7,999","16,860",AMOLED Display,3.9,Silicone,7,
SAMSUNG ,Smartwatch,Galaxy Active 2 Steel,Black,"24,490","31,990",AMOLED Display,4.4,Leather,14,
SAMSUNG ,Smartwatch,Gear S2,"Silver, Blue","24,300","24,300",AMOLED Display,4.3,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Active Steel,Blue,"29,990","34,490",AMOLED Display,4.1,Silicone,14,
SAMSUNG ,Smartwatch,Gear Fit 2 Pro,"Red, Black","9,990","14,990",AMOLED Display,4.3,Silicone,7,
SAMSUNG ,Smartwatch,Gear Fit 2,"Pink, Blue","15,000","15,000",AMOLED Display,4.2,Silicone,7,
SAMSUNG ,Smartwatch,Gear 2,Black,"19,999","22,550",AMOLED Display,2.3,Silicone,14,
SAMSUNG ,Smartwatch,Neo Gear 2,Black,"15,500","16,860",AMOLED Display,3.9,Rubber,7,
SAMSUNG ,Smartwatch,Galaxy Active 46mm,Black,"19,990","19,990",AMOLED Display,4.4,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Watch LTE,Beige,"27,490","29,989",AMOLED Display,4.2,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy 42,Grey,"21,989","25,990",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Gear Live,Black,"15,900","15,900",AMOLED Display,4.2,Rubber,7,
SAMSUNG ,Smartwatch,Gear Fit 2,"Blue, Black","15,000","15,000",AMOLED Display,4.2,Silicone,7,
SAMSUNG ,Smartwatch,Galaxy Watch 3,Black,"39,490","39,490",AMOLED Display,4.3,Leather,14,
SAMSUNG ,Smartwatch,Galaxy 42,Black,"24,989","25,990",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Gear S3 Frontier,Black,"22,990","28,500",AMOLED Display,4.3,Silicone,14,
SAMSUNG ,Smartwatch,Gear Sport,Black,"15,999","22,990",AMOLED Display,3,Silicone,7,
SAMSUNG ,Smartwatch,Gear S2 Classic,Black,"18,999","34,550",AMOLED Display,4.2,Leather,14,
SAMSUNG ,Smartwatch,T-Mobile,Black,"21,990","22,990",AMOLED Display,4.3,Leather,14,
SAMSUNG ,Smartwatch,Gear S2,Silver,"24,300","24,300",AMOLED Display,4.1,Elastomer,14,
SAMSUNG ,Smartwatch,R600NZBAXAR 600,Blue,"21,390","25,155",AMOLED Display,4.5,Rubber,14,
SAMSUNG ,Smartwatch,Gear S2 Classic,Black,"18,999","30,000",AMOLED Display,4.2,Leather,14,
SAMSUNG ,Smartwatch,Gear R730V S2,Grey,"18,532","22,498",AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Gear,Gold,"50,408","60,241",AMOLED Display,3.2,Rubber,14,
SAMSUNG ,FitnessBand,Activity Tracker,Black,"13,201","15,885",PMOLED Display,4.2,Rubber,7,
FOSSIL ,Smartwatch,Gen 5 Carlyle HR,Black,"15,995","22,995",AMOLED Display,4.2,Leather,2,
FOSSIL ,Smartwatch,Gen 5 Carlyle HR,"Brown, Grey","14,995","22,995",AMOLED Display,4.2,Leather,2,
FOSSIL ,Smartwatch,Gen 5 Garrett HR,Silver,"15,995","22,995",AMOLED Display,4.1,Stainless Steel,2,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,Gold,"18,495","18,495",AMOLED Display,3.8,Stainless Steel,2,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,Black,"18,995","22,995",AMOLED Display,4.3,Stainless Steel,2,
FOSSIL ,Smartwatch,Latitude Hybrid HR,Black,"12,396","14,995",AMOLED Display,4.3,Stainless Steel,14,
FOSSIL ,Smartwatch,Gen 5 Garrett HR,Black,"14,995","22,995",AMOLED Display,4.1,Stainless Steel,2,
FOSSIL ,Smartwatch,FB-01 Hybrid HR,Black,"12,396","14,995",AMOLED Display,4,Silicone,14,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,Silver,"18,495","18,495",AMOLED Display,3.8,Stainless Steel,2,
FOSSIL ,Smartwatch,Collider Hybrid,Black,"16,495","16,495",AMOLED Display,4,Silicone,14,
FOSSIL ,Smartwatch,Collider Hybrid,"Brown, Grey","14,995","14,995",AMOLED Display,4,Silicone,14,
FOSSIL ,Smartwatch,Sadie Hybrid,Silver,"8,995","13,495",AMOLED Display,4,Stainless Steel,10,
FOSSIL ,Smartwatch,FB-01 Hybrid HR,"Silver, Black","14,021","16,495",AMOLED Display,4,Stainless Steel,14,
FOSSIL ,Smartwatch,Commuter,Black,"11,995","11,995",AMOLED Display,4.3,Leather,14,
FOSSIL ,Smartwatch,Latitude Hybrid HR,Grey,"13,196","16,495",AMOLED Display,4.3,Stainless Steel,14,
FOSSIL ,Smartwatch,Sport,Multicolor,"17,995","17,995",AMOLED Display,3.9,Silicone,2,
FOSSIL ,Smartwatch,Charter Hybrid HR,Gold,"13,196","16,495",AMOLED Display,3.9,Leather,12,4
FOSSIL ,Smartwatch,Carlie Hybrid,Gold,"13,495","13,495",AMOLED Display,4.6,Stainless Steel,12,
FOSSIL ,Smartwatch,Carlie,Beige,"11,995","11,995",AMOLED Display,4.8,Leather,10,
FOSSIL ,Smartwatch,Neutra Hybrid,Silver,"13,495","13,495",AMOLED Display,5,Stainless Steel,12,
FOSSIL ,Smartwatch,Q Venture,Blue,"19,999","21,995",AMOLED Display,3.8,Leather,1,54
FOSSIL ,Smartwatch,Jacqueline,Gold,"13,495","13,495",AMOLED Display,4.6,Leather,1,
FOSSIL ,Smartwatch,Q Neely,Black,"6,995","12,995",AMOLED Display,4.6,Leather,2,
