JDTDB,Calendar Date (TDB),X,Y,Z,Unnamed: 5,distance_from_origin
2451327.540613426, A.D. 1999-May-29 00:58:29.0000,-305388646.6963899,-162920661.073232,96243712.42399104,,359260656.7893892
2451328.540613426, A.D. 1999-May-30 00:58:29.0000,-305073578.6919774,-164437417.3913077,96793389.40337212,,359831228.3369053
2451329.540613426, A.D. 1999-May-31 00:58:29.0000,-304752024.2425969,-165950677.2718383,97341008.08902204,,360400742.81656146
2451330.540613426, A.D. 1999-Jun-01 00:58:29.0000,-304424020.8545776,-167460425.2322659,97886566.63276388,,360969193.1722015
2451331.540613426, A.D. 1999-Jun-02 00:58:29.0000,-304089605.8562101,-168966646.0302204,98430063.25988004,,361536572.4429978
2451332.540613426, A.D. 1999-Jun-03 00:58:29.0000,-303748816.398227,-170469324.6604529,98971496.26791131,,362102873.7624487
2451333.540613426, A.D. 1999-Jun-04 00:58:29.0000,-303401689.4542572,-171968446.3518313,99510864.0254662,,362668090.3573611
2451334.540613426, A.D. 1999-Jun-05 00:58:29.0000,-303048261.821258,-173463996.5643921,100048164.9710446,,363232215.5468187
2451335.540613426, A.D. 1999-Jun-06 00:58:29.0000,-302688570.1199111,-174955960.9864187,100583397.6118692,,363795242.7411125
2451336.540613426, A.D. 1999-Jun-07 00:58:29.0000,-302322650.7950109,-176444325.5315575,101116560.5227372,,364357165.44066584
2451337.540613426, A.D. 1999-Jun-08 00:58:29.0000,-301950540.1158329,-177929076.3359466,101647652.3448835,,364917977.2349297
2451338.540613426, A.D. 1999-Jun-09 00:58:29.0000,-301572274.1765007,-179410199.7553598,102176671.7848628,,365477671.8012691
2451339.540613426, A.D. 1999-Jun-10 00:58:29.0000,-301187888.8963518,-180887682.3623618,102703617.6134453,,366036242.90383685
2451340.540613426, A.D. 1999-Jun-11 00:58:29.0000,-300797420.0203162,-182361510.9434767,103228488.6645332,,366593684.39244825
2451341.540613426, A.D. 1999-Jun-12 00:58:29.0000,-300400903.1193079,-183831672.4963709,103751283.834092,,367149990.2014585
2451342.540613426, A.D. 1999-Jun-13 00:58:29.0000,-299998373.5906332,-185298154.2270524,104272002.0791011,,367705154.34864616
2451343.540613426, A.D. 1999-Jun-14 00:58:29.0000,-299589866.6584202,-186760943.5470908,104790642.4165199,,368259170.934108
2451344.540613426, A.D. 1999-Jun-15 00:58:29.0000,-299175417.3740695,-188220028.0708596,105307203.9222714,,368812034.13916785
2451345.540613426, A.D. 1999-Jun-16 00:58:29.0000,-298755060.6167252,-189675395.6128033,105821685.7302429,,369363738.2252986
2451346.540613426, A.D. 1999-Jun-17 00:58:29.0000,-298328831.0937688,-191127034.1847331,106334087.0313016,,369914277.5330617
2451347.540613426, A.D. 1999-Jun-18 00:58:29.0000,-297896763.3413325,-192574931.9931511,106844407.0723267,,370463646.48106253
2451348.540613426, A.D. 1999-Jun-19 00:58:29.0000,-297458891.7248322,-194019077.436605,107352645.155256,,371011839.56492156
2451349.540613426, A.D. 1999-Jun-20 00:58:29.0000,-297015250.4395192,-195459459.1030747,107858800.6361487,,371558851.3562627
2451350.540613426, A.D. 1999-Jun-21 00:58:29.0000,-296565873.5110486,-196896065.7673912,108362872.9242613,,372104676.5017174
2451351.540613426, A.D. 1999-Jun-22 00:58:29.0000,-296110794.7960644,-198328886.3886874,108864861.4811391,,372649309.7219441
2451352.540613426, A.D. 1999-Jun-23 00:58:29.0000,-295650047.9827986,-199757910.1078823,109364765.8197204,,373192745.81066304
2451353.540613426, A.D. 1999-Jun-24 00:58:29.0000,-295183666.5916844,-201183126.2451978,109862585.5034555,,373734979.63370514
2451354.540613426, A.D. 1999-Jun-25 00:58:29.0000,-294711683.975983,-202604524.2977075,110358320.1454386,,374276006.1280754
2451355.540613426, A.D. 1999-Jun-26 00:58:29.0000,-294234133.3224214,-204022093.9369188,110851969.4075529,,374815820.3010305
2451356.540613426, A.D. 1999-Jun-27 00:58:29.0000,-293751047.6518411,-205435825.0063861,111343532.9996288,,375354417.22916776
2451357.540613426, A.D. 1999-Jun-28 00:58:29.0000,-293262459.8198584,-206845707.5193568,111833010.6786153,,375891792.05752903
2451358.540613426, A.D. 1999-Jun-29 00:58:29.0000,-292768402.5175334,-208251731.6564476,112320402.2477626,,376427939.9987157
2451359.540613426, A.D. 1999-Jun-30 00:58:29.0000,-292268908.2720477,-209653887.7633519,112805707.555819,,376962856.33201545
2451360.540613426, A.D. 1999-Jul-01 00:58:29.0000,-291764009.447392,-211052166.3485787,113288926.4962386,,377496536.40254253
2451361.540613426, A.D. 1999-Jul-02 00:58:29.0000,-291253738.2450604,-212446558.0812205,113770059.0064013,,378028975.62038755
2451362.540613426, A.D. 1999-Jul-03 00:58:29.0000,-290738126.7047524,-213837053.7887514,114249105.0668449,,378560169.4597795
2451363.540613426, A.D. 1999-Jul-04 00:58:29.0000,-290217206.7050826,-215223644.4548545,114726064.700509,,379090113.4582589
2451364.540613426, A.D. 1999-Jul-05 00:58:29.0000,-289691009.9642964,-216606321.2172781,115200937.9719899,,379618803.21586156
2451365.540613426, A.D. 1999-Jul-06 00:58:29.0000,-289159568.040992,-217985075.3657203,115673724.9868071,,380146234.39431214
2451366.540613426, A.D. 1999-Jul-07 00:58:29.0000,-288622912.3348486,-219359898.3397421,116144425.890681,,380672402.71623
2451367.540613426, A.D. 1999-Jul-08 00:58:29.0000,-288081074.08736,-220730781.7267077,116613040.8688218,,381197303.96434337
2451368.540613426, A.D. 1999-Jul-09 00:58:29.0000,-287534084.3825735,-222097717.259753,117079570.1452287,,381720933.9807153
2451369.540613426, A.D. 1999-Jul-10 00:58:29.0000,-286981974.1478332,-223460696.8157795,117544013.9820007,,382243288.6659779
2451370.540613426, A.D. 1999-Jul-11 00:58:29.0000,-286424774.1545292,-224819712.4134768,118006372.6786568,,382764363.97857827
2451371.540613426, A.D. 1999-Jul-12 00:58:29.0000,-285862515.0188497,-226174756.2113706,118466646.571468,,383284155.934033
2451372.540613426, A.D. 1999-Jul-13 00:58:29.0000,-285295227.2025384,-227525820.5058957,118924836.0327981,,383802660.6041925
2451373.540613426, A.D. 1999-Jul-14 00:58:29.0000,-284722941.0136548,-228872897.7294968,119380941.4704558,,384319874.11651546
2451374.540613426, A.D. 1999-Jul-15 00:58:29.0000,-284145686.6073381,-230215980.4487517,119834963.3270555,,384835792.65335023
2451375.540613426, A.D. 1999-Jul-16 00:58:29.0000,-283563493.9865763,-231555061.3625234,120286902.07939,,385350412.451231
2451376.540613426, A.D. 1999-Jul-17 00:58:29.0000,-282976393.0029758,-232890133.3001336,120736758.2378103,,385863729.8001771
2451377.540613426, A.D. 1999-Jul-18 00:58:29.0000,-282384413.3575354,-234221189.2195624,121184532.3456167,,386375741.04300505
2451378.540613426, A.D. 1999-Jul-19 00:58:29.0000,-281787584.6014224,-235548222.2056714,121630224.9784587,,386886442.57464826
2451379.540613426, A.D. 1999-Jul-20 00:58:29.0000,-281185936.1367517,-236871225.4684523,122073836.7437439,,387395830.841487
2451380.540613426, A.D. 1999-Jul-21 00:58:29.0000,-280579497.2173666,-238190192.3412974,122515368.2800565,,387903902.34068584
2451381.540613426, A.D. 1999-Jul-22 00:58:29.0000,-279968296.9496216,-239505116.2792953,122954820.2565845,,388410653.6195413
2451382.540613426, A.D. 1999-Jul-23 00:58:29.0000,-279352364.2931672,-240815990.8575485,123392193.3725554,,388916081.2748367
2451383.540613426, A.D. 1999-Jul-24 00:58:29.0000,-278731728.0617356,-242122809.7695163,123827488.3566809,,389420181.9522078
2451384.540613426, A.D. 1999-Jul-25 00:58:29.0000,-278106416.9239287,-243425566.8253779,124260705.9666103,,389922952.34551525
2451385.540613426, A.D. 1999-Jul-26 00:58:29.0000,-277476459.4040057,-244724255.9504209,124691846.9883914,,390424389.1962263
2451386.540613426, A.D. 1999-Jul-27 00:58:29.0000,-276841883.8826718,-246018871.1834512,125120912.235941,,390924489.2928049
2451387.540613426, A.D. 1999-Jul-28 00:58:29.0000,-276202718.5978676,-247309406.6752264,125547902.5505217,,391423249.47011083
2451388.540613426, A.D. 1999-Jul-29 00:58:29.0000,-275558991.6455578,-248595856.6869106,125972818.8002282,,391920666.60880584
2451389.540613426, A.D. 1999-Jul-30 00:58:29.0000,-274910730.9805194,-249878215.5885527,126395661.8794803,,392416737.6347684
2451390.540613426, A.D. 1999-Jul-31 00:58:29.0000,-274257964.4171287,-251156477.8575861,126816432.7085239,,392911459.51851636
2451391.540613426, A.D. 1999-Aug-01 00:58:29.0000,-273600719.6301471,-252430638.0773514,127235132.2329394,,393404829.2746376
2451392.540613426, A.D. 1999-Aug-02 00:58:29.0000,-272939024.1555035,-253700690.9356402,127651761.4231572,,393896843.961226
2451393.540613426, A.D. 1999-Aug-03 00:58:29.0000,-272272905.3910741,-254966631.223261,128066321.2739803,,394387500.6793262
2451394.540613426, A.D. 1999-Aug-04 00:58:29.0000,-271602390.5974585,-256228453.8326263,128478812.8041137,,394876796.57238305
2451395.540613426, A.D. 1999-Aug-05 00:58:29.0000,-270927506.8987494,-257486153.7563609,128889237.0557007,,395364728.8256969
2451396.540613426, A.D. 1999-Aug-06 00:58:29.0000,-270248281.2832971,-258739726.0859296,129297595.0938654,,395851294.66588223
2451397.540613426, A.D. 1999-Aug-07 00:58:29.0000,-269564740.604466,-259989166.0102847,129703888.0062625,,396336491.3603307
2451398.540613426, A.D. 1999-Aug-08 00:58:29.0000,-268876911.5813816,-261234468.8145308,130108116.9026316,,396820316.21667385
2451399.540613426, A.D. 1999-Aug-09 00:58:29.0000,-268184820.7996687,-262475629.8786062,130510282.9143597,,397302766.5822473
2451400.540613426, A.D. 1999-Aug-10 00:58:29.0000,-267488494.7121768,-263712644.6759774,130910387.1940485,,397783839.8435515
2451401.540613426, A.D. 1999-Aug-11 00:58:29.0000,-266787959.6396945,-264945508.7723451,131308430.9150882,,398263533.42570865
2451402.540613426, A.D. 1999-Aug-12 00:58:29.0000,-266083241.77165,-266174217.8243567,131704415.2712379,,398741844.79191184
2451403.540613426, A.D. 1999-Aug-13 00:58:29.0000,-265374367.1668008,-267398767.5783233,132098341.4762125,,399218771.44286716
2451404.540613426, A.D. 1999-Aug-14 00:58:29.0000,-264661361.7539117,-268619153.8689339,132490210.7632761,,399694310.9162229
2451405.540613426, A.D. 1999-Aug-15 00:58:29.0000,-263944251.3324263,-269835372.6179649,132880024.3848438,,400168460.7859891
2451406.540613426, A.D. 1999-Aug-16 00:58:29.0000,-263223061.5731348,-271047419.8329785,133267783.6120914,,400641218.66194504
2451407.540613426, A.D. 1999-Aug-17 00:58:29.0000,-262497818.0188469,-272255291.6060073,133653489.7345737,,401112582.18903774
2451408.540613426, A.D. 1999-Aug-18 00:58:29.0000,-261768546.0850765,-273458984.1122245,134037144.0598535,,401582549.0467764
2451409.540613426, A.D. 1999-Aug-19 00:58:29.0000,-261035271.0607489,-274658493.6085987,134418747.9131401,,402051116.9486283
2451410.540613426, A.D. 1999-Aug-20 00:58:29.0000,-260298018.1089427,-275853816.4325417,134798302.6369403,,402518283.6414292
2451411.540613426, A.D. 1999-Aug-21 00:58:29.0000,-259556812.2676691,-277044949.0005525,135175809.5907188,,402984046.90481114
2451412.540613426, A.D. 1999-Aug-22 00:58:29.0000,-258811678.4507062,-278231887.8068771,135551270.1505704,,403448404.55067277
2451413.540613426, A.D. 1999-Aug-23 00:58:29.0000,-258062641.448479,-279414629.4221921,135924685.7089008,,403911354.4226884
2451414.540613426, A.D. 1999-Aug-24 00:58:29.0000,-257309725.9289898,-280593170.4923333,136296057.6741159,,404372894.39587486
2451415.540613426, A.D. 1999-Aug-25 00:58:29.0000,-256552956.4387868,-281767507.7370818,136665387.4703158,,404833022.37621385
2451416.540613426, A.D. 1999-Aug-26 00:58:29.0000,-255792357.4039575,-282937637.9490196,137032676.5369929,,405291736.3003304
2451417.540613426, A.D. 1999-Aug-27 00:58:29.0000,-255027953.1311297,-284103557.99246,137397926.328731,,405749034.13522035
2451418.540613426, A.D. 1999-Aug-28 00:58:29.0000,-254259767.8084607,-285265264.8024508,137761138.314903,,406204913.8780112
2451419.540613426, A.D. 1999-Aug-29 00:58:29.0000,-253487825.5065987,-286422755.3838447,138122313.9793684,,406659373.5557473
2451420.540613426, A.D. 1999-Aug-30 00:58:29.0000,-252712150.1796048,-287576026.8104239,138481454.8201681,,407112411.2251787
2451421.540613426, A.D. 1999-Aug-31 00:58:29.0000,-251932765.6658268,-288725076.2240661,138838562.3492184,,407564024.97254705
2451422.540613426, A.D. 1999-Sep-01 00:58:29.0000,-251149695.6887228,-289869900.8339331,139193638.0920033,,408014212.9133492
2451423.540613426, A.D. 1999-Sep-02 00:58:29.0000,-250362963.8576371,-291010497.9156724,139546683.5872692,,408462973.1920796
2451424.540613426, A.D. 1999-Sep-03 00:58:29.0000,-249572593.6685353,-292146864.8106186,139897700.3867212,,408910303.98194474
2451425.540613426, A.D. 1999-Sep-04 00:58:29.0000,-248778608.504706,-293278998.9249898,140246690.054722,,409356203.4845535
